Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2022 Andorra QF,L vs Bucsa,78.6%,48.1%,7.1%,1/6,2.08,6.5%,80.3%,41.5%,0.0%,1.95,11.1%,80.0%,62.5%,23.3%,2.27,0.0%
2022 US Open R128,W vs Williams,73.6%,54.7%,0.0%,0/0,2.30,5.0%,72.0%,47.2%,0.0%,2.42,4.2%,90.3%,64.3%,0.0%,2.13,6.3%
2022 Wimbledon R128,L vs Raducanu,77.9%,47.2%,11.8%,2/6,1.96,5.7%,75.0%,47.2%,4.2%,1.73,9.7%,89.5%,47.1%,31.6%,2.27,0.0%
2022 s Hertogenbosch QF,L vs Sabalenka,70.0%,42.9%,6.7%,4/2,2.36,16.4%,69.5%,39.0%,3.4%,2.38,22.2%,78.6%,50.0%,14.3%,2.33,4.5%
2021 Nur Sultan F,W vs Putintseva,88.5%,48.2%,3.1%,2/1,2.41,3.0%,94.1%,48.4%,4.4%,2.27,4.3%,87.5%,47.6%,0.0%,2.73,0.0%
2019 Linz R16,L vs Bertens,72.9%,38.7%,0.0%,0/0,2.42,19.0%,65.5%,25.0%,0.0%,2.50,29.7%,92.9%,57.7%,0.0%,2.32,3.8%
2019 Tashkent F,W vs Cirstea,76.8%,51.3%,4.0%,1/3,2.64,8.2%,82.5%,40.4%,1.8%,2.43,12.2%,74.4%,69.0%,7.7%,2.93,2.8%
2019 Wimbledon R64,L vs Barty,69.8%,43.3%,0.0%,0/0,2.61,42.9%,75.0%,27.8%,0.0%,2.62,32.0%,63.2%,66.7%,0.0%,2.58,70.0%
2019 Budapest F,W vs Vondrousova,77.5%,50.7%,1.1%,0/1,2.42,35.8%,83.0%,51.3%,2.1%,2.55,54.5%,85.7%,50.0%,0.0%,2.18,0.0%
2019 Budapest SF,W vs Alexandrova,69.7%,47.8%,10.1%,4/6,2.56,0.0%,67.2%,51.3%,3.4%,2.43,0.0%,83.3%,43.3%,22.2%,2.87,0.0%
2019 Budapest R16,W vs Swiatek,68.2%,46.7%,7.6%,2/3,2.29,5.3%,72.7%,33.3%,3.0%,2.09,8.3%,72.4%,61.9%,13.8%,2.63,0.0%
2019 St Petersburg R16,L vs Sabalenka,68.3%,51.2%,7.9%,2/3,2.57,17.2%,75.0%,48.1%,8.3%,2.66,25.0%,66.7%,56.3%,8.3%,2.45,7.7%
2019 Australian Open R128,L vs Wozniacki,71.4%,40.0%,3.2%,1/1,2.47,21.6%,70.0%,46.4%,0.0%,2.49,36.7%,73.9%,29.4%,8.7%,2.44,0.0%
2018 Mallorca R32,W vs Sabalenka,70.4%,50.7%,3.1%,2/1,2.27,14.5%,69.2%,55.6%,3.1%,2.33,18.4%,85.7%,41.7%,3.6%,2.15,5.9%
2018 Budapest F,W vs Cibulkova,77.9%,44.8%,2.3%,1/1,2.54,12.3%,83.1%,40.7%,1.5%,2.45,17.4%,72.2%,61.5%,5.6%,2.75,0.0%
2016 Australian Open R128,L vs Azarenka,69.0%,15.0%,3.4%,0/1,2.64,3.0%,69.6%,12.5%,0.0%,2.72,5.9%,100.0%,25.0%,25.0%,2.56,0.0%
2016 Hobart R16,L vs Bouchard,75.7%,42.9%,13.5%,4/6,-,0.0%,89.5%,35.3%,18.4%,-,0.0%,73.3%,54.5%,10.0%,-,0.0%
2015 Luxembourg QF,W vs Strycova,78.5%,54.9%,1.5%,1/0,2.25,28.6%,78.4%,51.7%,0.0%,2.10,44.0%,84.6%,59.1%,3.8%,2.48,5.9%
2015 US Open R128,L vs Pegula,71.9%,31.7%,7.0%,0/4,2.30,12.8%,75.0%,20.8%,0.0%,2.53,35.3%,77.3%,47.1%,18.2%,2.17,0.0%
2015 Roland Garros QF,L vs Bacsinszky,80.0%,41.7%,8.0%,0/6,2.54,25.4%,83.9%,42.6%,0.0%,2.54,34.3%,76.5%,38.5%,35.3%,2.54,12.5%
Career (26 matches),,73.7%,47.2%,5.0%,33.7%,2.42,11.8%,75.5%,43.6%,2.4%,2.38,17.6%,79.8%,53.8%,10.5%,2.48,3.1%
