Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Australian Open R64,L vs Muchova,0.94,0.90,69.8,6.3,15.1%,66.0%,6.0%,52.0%,41.1%,36.5%
2025 US Open R128,L vs Andreeva,0.90,0.29,32.2,2.0,0.0%,41.7%,4.2%,33.3%,5.6%,41.7%
2025 Bogota R32,L vs Jovic,0.90,0.62,39.5,2.4,6.3%,43.8%,7.1%,46.4%,34.8%,40.9%
2025 Indian Wells R64,L vs Shnaider,0.89,0.49,35.3,2.0,4.8%,14.3%,5.9%,64.7%,34.6%,36.0%
2025 Indian Wells R128,W vs Kalinskaya,1.02,1.34,55.2,2.7,12.1%,63.6%,0.0%,60.0%,56.1%,43.9%
2025 Dubai R64,W vs Wang,1.11,1.55,49.3,2.2,17.2%,69.0%,14.3%,71.4%,38.7%,44.8%
2025 Doha R32,L vs Kenin,0.87,0.86,62.9,3.1,12.7%,49.1%,14.3%,55.1%,44.0%,51.0%
2025 Doha R64,W vs Shnaider,1.11,1.41,54.9,2.2,9.1%,72.7%,12.5%,59.4%,42.1%,44.1%
2025 Doha Q2,W vs Kudermetova,1.06,1.50,51.0,2.8,6.7%,66.7%,31.0%,65.5%,48.3%,48.1%
2025 Cluj-Napoca R32,L vs Danilovic,0.88,0.70,50.3,2.2,3.4%,44.8%,3.8%,50.0%,47.2%,36.4%
2025 Auckland R16,W vs Minnen,1.07,1.55,50.6,2.4,22.6%,61.3%,10.7%,78.6%,48.5%,39.3%
2025 Auckland R32,W vs Anisimova,1.18,1.18,69.7,5.5,14.0%,48.0%,4.3%,63.0%,46.5%,43.2%
2024 Wimbledon R128,L vs Wozniacki,0.92,0.37,31.0,2.0,5.0%,30.0%,0.0%,40.0%,30.0%,22.2%
2024 Roland Garros Q1,W vs Leonard,1.13,1.30,50.3,4.4,7.0%,55.8%,7.7%,56.4%,50.0%,51.3%
2023 US Open R128,L vs Kasatkina,0.91,0.82,64.3,5.0,9.3%,55.8%,0.0%,44.4%,38.3%,50.0%
2023 Wimbledon R64,L vs Bogdan,0.85,0.58,38.3,4.0,7.9%,60.5%,20.6%,55.9%,28.1%,28.6%
2023 Wimbledon R128,W vs Friedsam,0.99,1.40,53.5,2.7,12.1%,66.7%,3.6%,64.3%,50.0%,47.4%
2023 Roland Garros R128,L vs Vondrousova,1.13,0.57,44.0,2.8,6.5%,35.5%,0.0%,51.9%,39.1%,18.2%
2023 Madrid R64,W vs Azarenka,1.15,1.63,55.6,2.1,22.6%,61.3%,21.4%,78.6%,42.1%,44.4%
2023 Indian Wells R128,L vs Kalinskaya,0.80,0.42,32.2,2.1,9.5%,38.1%,0.0%,23.5%,52.2%,19.0%
2026 (1 matches),,0.94,0.90,69.8,6.3,15.1%,66.0%,6.0%,52.0%,41.1%,36.5%
2025 (11 matches),,1.01,0.98,52.7,2.5,10.6%,53.1%,10.1%,59.1%,42.9%,43.3%
2024 (2 matches),,1.06,0.89,44.0,2.7,6.3%,47.6%,5.1%,50.8%,43.3%,42.1%
2023 (10 matches),,1.01,0.95,55.6,2.8,11.4%,57.1%,9.1%,60.8%,39.2%,37.7%
2022 (3 matches),,0.97,0.92,61.1,2.2,10.0%,58.2%,7.2%,54.6%,38.2%,44.8%
Career (38 matches),,1.00,0.92,55.0,2.6,8.4%,55.0%,7.4%,56.3%,40.5%,41.7%
