Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,5,2,3,40.0%,6-7,46.2%,55-63,46.6%,0-0,-,5,59.3%,33.9%,2.7%,2.9%,61.8%,58.7%,43.9%,53.0%,42.0%,47.8%,0.89,QF (Bari 125)
2024,3,1,2,33.3%,3-2,60.0%,22-18,55.0%,0-0,-,3,54.5%,43.5%,3.3%,2.6%,56.6%,57.0%,45.5%,52.0%,45.6%,49.0%,0.95,R16 (Lleida 125)
2023,14,12,2,85.7%,25-10,71.4%,193-138,58.3%,2-1,66.7%,14,70.9%,44.8%,3.6%,2.7%,62.3%,61.8%,52.8%,58.4%,47.2%,52.7%,1.13,W (2x)
2022,23,18,5,78.3%,38-12,76.0%,266-181,59.5%,3-1,75.0%,18,72.7%,43.6%,5.1%,2.1%,60.9%,66.2%,50.8%,60.2%,47.1%,53.5%,1.18,W (2x)
2021,7,4,3,57.1%,9-7,56.3%,76-74,50.7%,0-1,0.0%,6,67.2%,38.3%,2.8%,4.0%,60.6%,63.9%,47.8%,57.5%,44.2%,51.1%,1.04,F (Limoges)
2019,24,19,5,79.2%,38-16,70.4%,279-196,58.7%,4-1,80.0%,3,45.8%,34.8%,4.4%,6.3%,62.5%,56.0%,40.0%,50.0%,44.8%,47.5%,0.90,W (W100+H Dubai)
2018,3,2,1,66.7%,4-2,66.7%,33-27,55.0%,1-0,100.0%,3,80.0%,27.6%,7.2%,1.9%,61.1%,74.8%,46.9%,63.9%,41.7%,53.3%,1.16,QF (Limoges)
2017,12,5,7,41.7%,13-14,48.1%,139-121,53.5%,2-5,28.6%,7,76.9%,48.4%,4.7%,2.1%,68.1%,64.1%,58.8%,62.4%,48.6%,55.2%,1.29,SF (Hua Hin)
2016,16,12,4,75.0%,25-9,73.5%,178-130,57.8%,1-0,100.0%,0,,,,,,,,,,,,W (Grado $25K)
2015,28,24,4,85.7%,48-14,77.4%,343-221,60.8%,1-1,50.0%,0,,,,,,,,,,,,W (3x)
2014,30,21,9,70.0%,47-24,66.2%,364-279,56.6%,2-4,33.3%,4,-,-,6.3%,4.1%,68.1%,61.1%,52.5%,58.4%,47.5%,52.7%,1.14,F (Woking 25K)
2013,55,44,11,80.0%,90-28,76.3%,624-396,61.2%,7-2,77.8%,0,,,,,,,,,,,,W (5x)
2012,50,32,18,64.0%,69-37,65.1%,538-397,57.5%,8-5,61.5%,0,,,,,,,,,,,,W (Antalya 10K)
2011,35,22,13,62.9%,47-28,62.7%,375-297,55.8%,3-2,60.0%,0,,,,,,,,,,,,W (Izmir 10K)
2010,9,3,6,33.3%,8-12,40.0%,87-97,47.3%,0-1,0.0%,0,,,,,,,,,,,,R16 (3x)
2009,6,2,4,33.3%,5-9,35.7%,63-79,44.4%,1-2,33.3%,0,,,,,,,,,,,,R16 (2x)
2008,7,3,4,42.9%,6-10,37.5%,65-88,42.5%,1-0,100.0%,0,,,,,,,,,,,,QF (Vienna 10K)
2007,8,5,3,62.5%,11-7,61.1%,85-76,52.8%,1-1,50.0%,0,,,,,,,,,,,,QF (2x)
Career,335,231,104,69.0%,492-248,66.5%,3785-2878,56.8%,37-27,57.8%,63,69.4%,41.8%,4.4%,2.8%,62.5%,63.3%,50.3%,58.4%,46.3%,52.3%,1.11,
