Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
02-Mar-2026,W35 Launceston,Hard,R16,519,1292,I Wen Wan [TPE] d. Kulikova,6-2 6-3,0.65,0.0%,2.0%,88.2%,42.2%,33.3%,2/8,1:03
02-Mar-2026,W35 Launceston,Hard,R32,519,1052,Kulikova d. Kisa Yoshioka [JPN],6-3 6-3,1.39,3.7%,7.4%,61.1%,63.6%,61.9%,4/6,1:39
23-Feb-2026,W35 Burnie,Hard,QF,491,275,Lizette Cabrera [AUS] d. Kulikova,6-2 6-0,0.22,2.0%,3.9%,66.7%,50.0%,29.4%,4/9,0:55
23-Feb-2026,W35 Burnie,Hard,R16,491,680,Kulikova d. Sarah Rokusek [AUS],6-2 6-0,1.74,1.9%,0.0%,72.2%,64.1%,53.3%,6/7,1:04
23-Feb-2026,W35 Burnie,Hard,R32,491,,Kulikova d. Musemma Cilek [AUS],6-4 6-0,1.34,1.3%,13.2%,51.3%,69.2%,45.9%,12/13,1:29
16-Feb-2026,W100 Bengaluru,Hard,R32,504,286,Mei Yamaguchi [JPN] d. Kulikova,3-6 6-0 6-1,0.72,4.5%,7.5%,61.2%,58.5%,42.3%,4/9,1:33
02-Feb-2026,Mumbai 125,Hard,Q2,508,429,(3) Zuzanna Pawlikowska [POL] d. (7) Kulikova,6-3 4-6 7-6(4),0.91,3.2%,2.4%,76.8%,53.1%,34.5%,9/17,3:03
02-Feb-2026,Mumbai 125,Hard,Q1,508,1100,(7) Kulikova d. Naoko Eto [JPN],6-0 6-0,6.00,0.0%,3.6%,78.6%,90.9%,66.7%,0/0,0:37
26-Jan-2026,W100 Fujairah,Hard,R16,514,122,Diane Parry [FRA] d. Kulikova,6-4 6-4,0.73,7.0%,5.6%,62.0%,52.3%,48.1%,5/10,1:22
26-Jan-2026,W100 Fujairah,Hard,R32,514,378,Kulikova d. Antonia Schmidt [GER],6-1 7-6(6),1.70,6.6%,6.6%,62.3%,84.2%,56.5%,0/1,1:33
27-Oct-2025,Hong Kong,Hard,Q1,405,228,(3) Himeno Sakatsume [JPN] d. Kulikova,6-2 6-3,0.66,4.0%,8.0%,62.0%,51.6%,47.4%,5/9,1:09
22-Sep-2025,Jingshan 125,Hard,R16,380,131,(2) Talia Gibson [AUS] d. Kulikova,6-4 1-6 6-3,0.98,5.9%,5.9%,54.1%,60.9%,41.0%,2/8,2:05
22-Sep-2025,Jingshan 125,Hard,R32,380,,Kulikova d. Karman Thandi [IND],6-3 7-6(0),1.72,0.0%,3.3%,68.9%,85.7%,68.4%,1/1,1:22
15-Sep-2025,W35 Shenyang,Hard,R32,381,300,Xinxin Yao [CHN] d. Kulikova,7-5 6-2,0.70,3.2%,4.8%,61.3%,57.9%,37.5%,3/8,1:34
08-Sep-2025,Guadalajara,Hard,Q2,366,148,(5) Lucrezia Stefanini [ITA] d. Kulikova,6-1 6-4,0.67,3.1%,9.4%,62.5%,60.0%,33.3%,3/8,1:04
08-Sep-2025,Guadalajara,Hard,Q1,366,211,Kulikova d. (9) Hina Inoue [USA],2-6 7-6(5) 6-4,1.06,4.4%,5.6%,68.9%,59.7%,60.7%,3/7,2:20
01-Sep-2025,Guadalajara 125,Hard,R32,370,544,(Q) Maria Kozyreva [RUS] d. (Q) Kulikova,7-6(0) 6-1,0.59,8.6%,17.2%,53.4%,67.7%,25.9%,1/5,1:10
