Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 US Open R64,L vs Azarenka,33% (4/12),50% (2/4),0/0,0/0,62% (8/13),0/2,0/1,- (0/0),- (0/0)
2025 Cincinnati R64,L vs Ito,55% (6/11),50% (5/10),1/1,0/0,47% (7/15),3/5,3/4,- (0/0),- (0/0)
2025 Wimbledon QF,L vs Anisimova,60% (6/10),20% (1/5),0/5,0/0,60% (6/10),3/5,3/4,40% (4/10),50% (5/10)
2025 Miami R128,L vs Linette,58% (7/12),10% (1/10),0/0,0/0,50% (3/6),6/8,1/2,60% (3/5),0% (0/5)
2025 Australian Open QF,L vs Sabalenka,43% (6/14),63% (5/8),1/1,0/0,25% (2/8),1/3,0/1,- (0/0),- (0/0)
2024 US Open R32,L vs Swiatek,55% (6/11),- (0/0),0/0,0/0,40% (2/5),0/2,0/1,- (0/0),- (0/0)
2024 US Open R64,W vs Cocciaretto,40% (10/25),70% (7/10),2/5,1/1,69% (9/13),1/2,0/0,- (0/0),- (0/0)
2024 US Open R128,W vs Preston,88% (7/8),71% (5/7),2/2,1/1,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2024 Toronto R64,L vs Azarenka,50% (4/8),- (0/0),0/0,0/0,60% (6/10),6/8,1/2,- (0/0),- (0/0)
2024 Wimbledon R64,L vs Zhu,50% (6/12),50% (1/2),0/0,0/0,50% (4/8),3/5,2/3,- (0/0),- (0/0)
2024 Wimbledon R128,W vs Townsend,64% (9/14),75% (3/4),2/2,1/1,88% (7/8),0/0,0/0,100% (6/6),20% (1/5)
2024 Doha SF,L vs Rybakina,71% (5/7),11% (1/9),0/0,0/0,33% (2/6),4/6,1/2,- (0/0),- (0/0)
2024 Doha QF,W vs Collins,56% (9/16),100% (4/4),2/2,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2024 Linz SF,L vs Ostapenko,71% (5/7),0% (0/7),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2023 US Open R64,L vs Svitolina,67% (12/18),50% (3/6),1/3,0/0,73% (11/15),5/7,2/3,- (0/0),- (0/0)
2023 US Open R128,W vs Crawley,55% (6/11),60% (6/10),2/4,1/2,25% (1/4),0/0,0/0,- (0/0),- (0/0)
2023 Roland Garros QF,L vs Muchova,50% (5/10),50% (2/4),0/0,0/0,55% (6/11),1/3,1/2,- (0/0),- (0/0)
2023 Roland Garros R16,W vs Mertens,80% (8/10),39% (7/18),2/7,1/5,65% (11/17),1/2,0/0,80% (4/5),60% (3/5)
2023 Roland Garros R32,W vs Potapova,57% (8/14),73% (8/11),2/2,1/1,56% (5/9),1/2,0/0,- (0/0),- (0/0)
2023 Roland Garros R64,W vs Samsonova,61% (11/18),37% (7/19),2/3,1/1,63% (10/16),1/2,0/0,- (0/0),- (0/0)
2025 (5 matches),,49.2%,37.8%,28.6%,-,50.0%,56.5%,58.3%,46.7%,33.3%
2024 (9 matches),,56.5%,48.8%,72.7%,100.0%,59.7%,56.0%,44.4%,100.0%,20.0%
2023 (9 matches),,62.2%,48.2%,50.0%,50.0%,58.0%,59.3%,50.0%,80.0%,60.0%
2022 (1 matches),,100.0%,100.0%,100.0%,100.0%,66.7%,-,-,-,-
2021 (18 matches),,57.0%,45.4%,58.1%,55.0%,58.0%,41.9%,46.2%,38.9%,35.0%
Career (416 matches),,57.0%,45.7%,53.2%,54.6%,54.7%,47.4%,45.9%,56.4%,47.0%
