Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 US Open R64,L vs Azarenka,25,23,1.1,20.5%,18.9%,19,18,1.1,17.9%,17.0%,9.4%,8.5%,1.5,12.3%,8.2%
2025 Cincinnati R64,L vs Ito,37,60,0.6,20.8%,33.7%,36,57,0.6,21.3%,33.7%,17.2%,4.1%,1.0,10.1%,10.1%
2025 Wimbledon QF,L vs Anisimova,9,20,0.5,6.0%,13.2%,9,15,0.6,6.7%,11.2%,4.5%,2.2%,1.2,16.6%,13.9%
2025 Miami R128,L vs Linette,22,20,1.1,14.7%,13.3%,18,14,1.3,14.6%,11.4%,6.5%,8.1%,1.8,18.0%,10.0%
2025 Australian Open QF,L vs Sabalenka,22,23,1.0,14.3%,14.9%,19,18,1.1,13.6%,12.9%,7.9%,5.0%,1.0,17.5%,16.9%
2024 US Open R32,L vs Swiatek,18,17,1.1,16.5%,15.6%,15,16,0.9,14.6%,15.5%,7.8%,5.8%,2.1,17.4%,8.3%
2024 US Open R64,W vs Cocciaretto,44,52,0.8,22.6%,26.7%,40,44,0.9,22.6%,24.9%,15.3%,6.8%,0.4,6.2%,15.4%
2024 US Open R128,W vs Preston,25,21,1.2,29.1%,24.4%,21,17,1.2,28.0%,22.7%,13.3%,13.3%,0.1,2.3%,20.9%
2024 Toronto R64,L vs Azarenka,13,18,0.7,12.5%,17.3%,6,14,0.4,6.8%,15.9%,3.4%,3.4%,1.1,9.6%,8.7%
2024 Wimbledon R64,L vs Zhu,30,31,1.0,23.8%,24.6%,27,29,0.9,22.9%,24.6%,11.9%,9.3%,2.9,15.9%,5.6%
2024 Wimbledon R128,W vs Townsend,21,21,1.0,16.4%,16.4%,20,20,1.0,16.5%,16.5%,9.9%,6.6%,1.2,13.3%,10.9%
2024 Doha SF,L vs Rybakina,16,16,1.0,12.1%,12.1%,14,14,1.0,11.4%,11.4%,7.3%,4.1%,1.4,20.5%,15.2%
2024 Doha QF,W vs Collins,17,20,0.9,13.3%,15.6%,16,19,0.8,12.8%,15.2%,4.8%,8.0%,0.8,20.3%,25.0%
2024 Linz SF,L vs Ostapenko,10,14,0.7,9.1%,12.7%,10,11,0.9,10.5%,11.6%,7.4%,3.2%,2.1,33.6%,16.4%
2023 US Open R64,L vs Svitolina,31,45,0.7,14.8%,21.4%,28,38,0.7,15.5%,21.0%,11.6%,3.3%,1.1,19.5%,17.1%
2023 US Open R128,W vs Crawley,21,27,0.8,18.4%,23.7%,19,23,0.8,18.8%,22.8%,10.9%,7.9%,0.3,7.9%,25.4%
2023 Roland Garros QF,L vs Muchova,16,26,0.6,12.7%,20.6%,14,21,0.7,11.9%,17.8%,7.6%,4.2%,1.2,16.7%,13.5%
2023 Roland Garros R16,W vs Mertens,50,44,1.1,22.6%,19.9%,49,36,1.4,25.4%,18.7%,13.5%,11.9%,0.8,10.4%,13.1%
2023 Roland Garros R32,W vs Potapova,25,30,0.8,15.7%,18.9%,24,24,1.0,16.9%,16.9%,10.6%,6.3%,0.6,10.7%,18.2%
2023 Roland Garros R64,W vs Samsonova,29,37,0.8,12.8%,16.4%,27,30,0.9,13.8%,15.4%,8.7%,4.6%,0.7,17.7%,24.3%
Career (136 matches),,3415,3924,0.9,16.9%,19.4%,3083,3341,0.9,16.9%,18.3%,7.9%,4.7%,0.9,14.6%,15.8%
