Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Australian Open R64,W vs Raducanu,23,30,0.8,18.0%,23.4%,20,27,0.7,16.8%,22.7%,10.9%,5.9%,0.5,14.1%,29.7%
2026 Australian Open R128,W vs Lamens,32,48,0.7,16.8%,25.3%,29,40,0.7,17.0%,23.4%,11.1%,5.8%,0.4,7.4%,18.4%
2026 Brisbane R64,W vs Kasatkina,46,30,1.5,21.1%,13.8%,39,25,1.6,21.0%,13.4%,10.2%,9.7%,0.8,15.1%,17.9%
2025 US Open R64,L vs Andreeva,9,36,0.3,7.6%,30.5%,9,33,0.3,8.1%,29.7%,5.4%,2.7%,0.7,13.6%,19.5%
2025 Cleveland R32,L vs Jovic,12,37,0.3,8.4%,25.9%,10,31,0.3,7.6%,23.7%,5.3%,2.3%,0.5,13.3%,24.5%
2025 Madrid R16,L vs Kostyuk,17,28,0.6,13.7%,22.6%,15,24,0.6,13.0%,20.9%,5.2%,7.8%,2.0,14.5%,7.3%
2025 Madrid R64,W vs Zheng,14,18,0.8,11.5%,14.8%,12,14,0.9,10.6%,12.4%,7.1%,3.5%,0.4,10.7%,27.0%
2025 Indian Wells R64,L vs Keys,5,19,0.3,5.1%,19.4%,5,18,0.3,5.4%,19.4%,3.2%,2.2%,2.3,27.6%,12.2%
2025 Cluj-Napoca F,W vs Bronzetti,36,32,1.1,22.2%,19.8%,29,29,1.0,19.7%,19.7%,8.8%,10.2%,0.7,12.3%,17.3%
2024 US Open R32,L vs Muchova,16,29,0.6,15.1%,27.4%,14,21,0.7,16.1%,24.1%,8.0%,8.0%,2.2,22.6%,10.4%
2024 US Open R64,W vs Lepchenko,17,21,0.8,12.1%,14.9%,16,18,0.9,11.9%,13.4%,8.2%,3.0%,1.0,15.6%,16.3%
2024 US Open R128,W vs Fernandez,32,34,0.9,15.2%,16.2%,29,28,1.0,15.2%,14.7%,7.3%,6.3%,1.1,14.8%,13.3%
2024 Cleveland R32,W vs Parry,12,11,1.1,12.6%,11.6%,12,9,1.3,13.5%,10.1%,7.9%,5.6%,0.6,13.7%,23.2%
2024 Wimbledon R128,L vs Pera,25,50,0.5,9.5%,18.9%,20,41,0.5,8.7%,17.8%,5.2%,3.5%,0.5,12.5%,24.2%
2024 Birmingham QF,W vs Krejcikova,16,13,1.2,14.4%,11.7%,11,11,1.0,11.2%,11.2%,5.1%,6.1%,0.6,9.0%,16.2%
2024 Birmingham R32,W vs Avanesyan,25,41,0.6,19.8%,32.5%,22,39,0.6,18.3%,32.5%,10.0%,8.3%,0.4,7.1%,19.8%
2024 Roland Garros R16,L vs Swiatek,5,15,0.3,8.6%,25.9%,5,14,0.4,9.3%,25.9%,5.6%,3.7%,4.3,22.4%,5.2%
2024 Miami R64,L vs Collins,7,20,0.4,8.0%,22.7%,6,17,0.4,7.5%,21.3%,3.8%,2.5%,1.6,31.8%,20.5%
2024 Indian Wells QF,L vs Kostyuk,11,32,0.3,10.0%,29.1%,10,28,0.4,10.0%,28.0%,9.0%,1.0%,0.5,9.1%,17.3%
2024 Linz R16,W vs Cocciaretto,43,59,0.7,17.6%,24.1%,34,54,0.6,15.0%,23.8%,7.5%,7.5%,0.9,11.4%,12.7%
Career (70 matches),,1339,1982,0.7,13.9%,20.6%,1220,1700,0.7,13.9%,19.4%,7.3%,5.1%,0.7,13.7%,18.7%
