Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 W25 Namangan R16,L vs Detiuc,0.93,0.75,58.1,2.6,2.4%,58.5%,0.0%,48.7%,44.4%,29.0%
2019 W25 Andijan QF,L vs Yadlapalli,0.91,0.85,65.3,3.0,0.0%,58.5%,2.0%,44.9%,42.2%,47.7%
2019 W25 Andijan R32,W vs Ghioroaie,1.03,1.55,45.9,2.9,0.0%,78.1%,0.0%,41.4%,55.2%,63.0%
2019 W25 Moscow R32,L vs Stefanini,1.01,0.83,61.5,2.0,2.4%,61.0%,0.0%,36.6%,43.9%,40.0%
2019 W15 Sharm El Sheikh R16,W vs Cadar,1.08,1.38,54.2,2.3,0.0%,53.3%,0.0%,59.3%,63.3%,48.1%
2019 W15 Sharm El Sheikh R32,W vs Hindova,0.95,1.72,39.1,2.1,0.0%,69.6%,0.0%,63.2%,55.2%,66.7%
2019 W15 Sharm El Sheikh SF,L vs Sherif,0.93,0.54,39.0,2.1,0.0%,52.4%,0.0%,21.1%,25.9%,48.0%
2019 W15 Sharm El Sheikh QF,W vs Helgo,1.12,1.28,57.0,3.6,5.6%,55.6%,0.0%,57.1%,43.6%,57.1%
2019 W15 Sharm El Sheikh R16,W vs Pipa,0.83,2.17,43.6,2.2,0.0%,80.0%,0.0%,77.8%,56.7%,53.6%
2019 W15 Sharm El Sheikh R32,W vs Vdovenco,1.20,1.52,43.3,2.0,0.0%,58.1%,0.0%,37.9%,69.2%,60.9%
2017 Stellenbosch $15K R16,L vs Adler,0.81,0.61,46.3,3.8,0.0%,40.7%,8.3%,41.7%,43.2%,45.7%
2017 Stellenbosch $15K R32,W vs Miklova,1.18,1.76,35.1,2.3,0.0%,65.4%,0.0%,54.2%,51.9%,68.0%
2017 Stellenbosch $15K QF,L vs Ewing,0.93,0.90,78.0,36.3,0.0%,54.5%,2.0%,46.0%,43.6%,52.8%
2017 Stellenbosch $15K R16,W vs Boy,1.01,1.68,38.7,2.0,4.8%,52.4%,0.0%,68.4%,65.4%,68.0%
2017 Stellenbosch $15K R32,W vs Totka,0.96,1.37,52.1,3.3,3.3%,66.7%,3.7%,59.3%,52.6%,52.6%
2017 Stellenbosch $15K QF,L vs Totka,0.89,0.79,54.7,2.4,2.7%,62.2%,0.0%,44.4%,40.5%,41.7%
2017 Stellenbosch $15K R16,W vs Salden,1.12,1.59,45.5,2.6,0.0%,58.6%,0.0%,60.7%,41.7%,73.9%
2017 Stellenbosch $15K R32,W vs Hoedt,1.16,1.38,58.5,2.7,2.9%,50.0%,0.0%,53.1%,61.3%,53.8%
2017 Sharm El Sheikh $15K F,L vs Samir,0.90,0.72,48.1,5.6,0.0%,44.1%,3.0%,39.4%,50.0%,43.2%
2017 Sharm El Sheikh $15K SF,W vs Francati,1.17,1.49,45.4,2.0,3.3%,66.7%,7.1%,57.1%,51.5%,45.2%
2019 (10 matches),,1.00,1.10,52.8,2.4,1.2%,61.6%,0.3%,47.5%,49.1%,50.5%
2017 (31 matches),,1.02,1.11,58.2,3.0,1.4%,53.7%,1.4%,53.7%,49.2%,51.8%
2016 (30 matches),,1.03,1.04,56.8,2.5,1.1%,52.3%,1.2%,51.0%,48.6%,49.1%
2015 (15 matches),,1.01,1.08,59.1,3.0,1.1%,53.5%,0.8%,51.2%,50.4%,51.3%
2014 (11 matches),,1.03,1.05,45.6,2.2,2.9%,48.5%,0.6%,52.9%,49.1%,52.0%
Career (97 matches),,1.02,1.08,56.1,2.7,1.4%,53.4%,1.1%,51.7%,49.2%,50.8%
