Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
05-Jan-2026,W35 Antalya,Clay,F,508,437,Prisacariu d. Carlota Martinez Cirez [ESP],2-6 7-6(6) 7-6(4),0.97,0.0%,0.8%,88.4%,57.0%,33.3%,6/13,3:49
27-May-2024,W15 Kursumlijska Banja,Clay,F,491,793,(1) Prisacariu d. Ioana Zvonaru [ROU],5-7 6-4 7-5,,,,,,,,
29-Jan-2024,W15 Antalya,Clay,F,327,476,(4) Amarissa Kiara Toth [HUN] d. (2) Prisacariu,4-6 6-2 6-2,,,,,,,,
22-Jan-2024,W15 Antalya,Clay,F,330,471,(2) Andrea Lazaro Garcia [ESP] d. (1) Prisacariu,4-6 6-3 6-1,,,,,,,,
10-Apr-2023,W25 Santa Margherita di Pula,Clay,F,411,247,(Q) Prisacariu d. (5) Miriam Bianca Bulgaru [ROU],3-6 6-2 6-2,,,,,,,,
21-Jun-2021,W25 Klosters,Clay,F,473,451,Ylena In Albon [SUI] d. Prisacariu,6-3 6-2,,,,,,,,
29-Mar-2021,W15 Antalya,Clay,F,589,766,Prisacariu d. Ane Mintegi Del Olmo [ESP],6-3 7-5,,,,,,,,
15-Feb-2021,W15 Antalya,Clay,F,658,684,(Q) Prisacariu d. (Q) Aurora Zantedeschi [ITA],6-3 7-5,,,,,,,,
11-Nov-2019,W15 Monastir,Hard,F,726,797,Carole Monnet [FRA] d. Prisacariu,6-2 3-1 RET,,,,,,,,
19-Aug-2019,W15 Tabarka,Clay,F,939,,(7) Prisacariu d. (WC) Aurora Zantedeschi [ITA],2-6 6-2 6-1,,,,,,,,
