Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2023 Wimbledon R128,W vs Stefanini,3.9,3.4,4.4,55.2%,54.5%,44.4%,53.8%,49.8%,4.1%,4.5,4.2,13.0,11.4
2023 Roland Garros R128,L vs Pera,3.3,3.2,3.3,46.2%,35.5%,45.5%,75.0%,52.5%,4.7%,-0.5,-0.6,-1.5,-1.8
2023 Australian Open R64,L vs Linette,3.9,3.9,4.0,41.1%,53.3%,52.4%,72.7%,60.3%,10.0%,2.5,1.6,10.5,10.7
2023 Australian Open R128,W vs Grabher,3.1,3.0,3.1,60.3%,63.0%,42.9%,0.0%,43.3%,3.6%,3.5,9.7,5.5,10.4
2022 Ostrava R16,L vs Martincova,4.4,5.1,3.6,45.6%,47.6%,44.4%,63.6%,42.5%,3.0%,11.5,17.4,0.5,0.5
2022 Tallinn F,L vs Krejcikova,3.7,3.9,3.5,46.3%,25.0%,42.9%,20.0%,65.1%,6.7%,-9.0,-9.3,-1.5,-2.7
2022 US Open R64,L vs Williams,3.3,3.2,3.4,45.9%,61.5%,61.1%,33.3%,54.6%,6.8%,25.0,18.4,6.5,6.2
2022 Prague QF,L vs Potapova,3.4,3.8,2.8,36.2%,26.1%,14.3%,50.0%,58.3%,2.3%,-5.5,-10.0,-7.5,-18.3
2022 Hamburg F,L vs Pera,4.0,3.9,4.1,44.4%,45.5%,38.5%,25.0%,54.9%,0.0%,4.5,5.7,1.5,2.1
2022 Wimbledon R64,L vs Niemeier,2.9,2.6,3.2,43.1%,33.3%,20.0%,0.0%,47.4%,15.7%,-3.5,-8.3,-5.5,-13.1
2022 Stuttgart QF,L vs Sabalenka,3.1,3.7,2.4,48.6%,43.3%,27.3%,40.0%,44.1%,11.6%,0.0,0.0,4.5,5.5
2022 Doha F,L vs Swiatek,4.6,4.6,4.6,24.4%,44.8%,50.0%,37.5%,46.0%,7.4%,-9.0,-11.4,-5.5,-6.3
2022 Doha SF,W vs Ostapenko,3.0,3.1,3.0,69.4%,30.4%,71.4%,0.0%,46.6%,6.3%,-1.5,-3.0,0.0,0.0
2022 Doha QF,W vs Jabeur,3.6,3.4,3.7,57.7%,67.7%,66.7%,42.9%,43.6%,2.9%,14.5,19.3,6.5,6.6
2022 Doha R16,W vs Mertens,4.4,4.5,4.2,52.6%,35.3%,58.8%,56.3%,47.4%,1.4%,-2.5,-2.1,-2.0,-1.4
2022 Doha R32,W vs Konjuh,3.5,3.4,3.7,57.0%,52.4%,75.0%,0.0%,50.8%,2.0%,14.5,15.1,1.0,1.1
2022 St Petersburg F,W vs Sakkari,3.9,4.1,3.8,41.6%,60.4%,64.3%,60.0%,51.5%,4.1%,3.0,1.6,2.0,1.1
2022 St Petersburg SF,W vs Ostapenko,2.8,3.1,2.6,56.8%,54.2%,42.9%,0.0%,43.0%,2.9%,1.5,3.1,8.0,12.5
2022 St Petersburg QF,W vs Bencic,2.9,2.9,2.8,53.2%,65.5%,55.6%,60.0%,50.3%,3.7%,9.5,12.0,15.5,20.4
2022 St Petersburg R16,W vs Cirstea,3.7,3.7,3.8,55.4%,55.2%,53.8%,25.0%,54.0%,3.3%,12.5,12.1,3.0,3.5
Last 52 Weeks (2 matches),,3.6,3.3,3.9,50.6%,45.3%,45.0%,58.8%,50.9%,4.3%,2.0,2.1,5.8,5.9
Career (90 matches),,3.7,3.8,3.6,49.8%,50.8%,51.6%,47.1%,49.7%,6.4%,5.7,5.8,4.4,4.5
