Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,10,9,1,90.0%,19-4,82.6%,135-86,61.1%,3-1,75.0%,10,73.8%,48.2%,2.6%,5.5%,65.4%,67.2%,47.8%,60.5%,48.9%,54.7%,1.24,W (Midland 125)
2022,3,1,2,33.3%,3-4,42.9%,30-31,49.2%,0-0,-,3,54.8%,43.3%,1.7%,10.1%,54.2%,62.9%,48.8%,56.4%,45.0%,50.3%,1.03,R16 (Paris 125)
2021,10,5,5,50.0%,12-10,54.5%,116-97,54.5%,0-3,0.0%,6,69.7%,33.8%,2.6%,5.2%,66.3%,65.7%,47.3%,59.5%,42.8%,50.3%,1.06,QF (W25 Leiria)
2020,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,25.0%,25.0%,0.0%,11.5%,63.5%,45.5%,31.6%,40.4%,44.3%,42.7%,0.74,R64 (Indian Wells 125K)
2019,16,12,4,75.0%,24-11,68.6%,174-143,54.9%,1-0,100.0%,0,,,,,,,,,,,,W (2x)
2018,24,16,8,66.7%,33-18,64.7%,263-214,55.1%,3-1,75.0%,0,,,,,,,,,,,,F (Shenzhen $60K)
2017,36,23,13,63.9%,50-31,61.7%,412-351,54.0%,4-6,40.0%,0,,,,,,,,,,,,W (Obidos $25K)
2016,48,40,8,83.3%,81-21,79.4%,560-345,61.9%,7-3,70.0%,0,,,,,,,,,,,,W (4x)
2015,19,13,6,68.4%,26-13,66.7%,189-157,54.6%,4-0,100.0%,0,,,,,,,,,,,,F (2x)
Career,167,119,48,71.3%,248-114,68.5%,1883-1436,56.7%,22-14,61.1%,20,67.9%,42.1%,2.4%,6.3%,64.1%,65.4%,47.2%,58.9%,46.1%,52.2%,1.12,
