Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
07-Jul-2025,W50 Corroios-Seixal,Hard,F,108,585,Vitalia Diatchenko [RUS] d. Ito,6-2 6-3,0.71,0.0%,4.0%,70.0%,51.4%,46.7%,3/8,1:12
30-Dec-2024,Canberra 125,Hard,F,126,134,(7) Ito d. Sijia Wei [CHN],6-4 6-3,1.35,1.8%,1.8%,65.5%,80.6%,52.6%,4/4,1:14
18-Nov-2024,W100 Takasaki,Hard,F,150,146,(4) Ito d. (2) Sijia Wei [CHN],7-5 6-4,,,,,,,,
04-Nov-2024,W35 Hamamatsu,Carpet,F,157,334,(7) Mei Yamaguchi [JPN] d. (1) Ito,4-6 5-3 RET,,,,,,,,
23-Sep-2024,W50 Nanao,Carpet,F,213,298,(1) Ito d. (4) Ayano Shimizu [JPN],6-2 6-1,,,,,,,,
03-Jun-2024,W15 Kawaguchi,Hard,F,247,850,(1) Ito d. Mao Mushika [JPN],6-1 6-4,,,,,,,,
20-May-2024,W50 Goyang,Hard,F,266,241,(3) Hanna Chang [USA] d. (5) Ito,7-6(2) 6-4,,,,,,,,
18-Mar-2024,W15 Hinode,Hard,F,289,,(SR) Maegan Manasse [USA] d. (2) Ito,6-3 6-2,,,,,,,,
05-Feb-2024,W75 Burnie,Hard,F,329,446,(WC) Maya Joint [AUS] d. Ito,1-6 6-1 7-5,,,,,,,,
05-Jun-2023,W15 Kashiwa,Hard,F,554,,(1) Ito d. (Q) Kisa Yoshioka [JPN],6-4 6-1,,,,,,,,
