Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
17-Sep-2001,Tokyo,Hard,F,19,11,(3) Jelena Dokic [AUS] d. (5) Sanchez Vicario,6-4 6-2,,,,,,,,
30-Apr-2000,Hamburg,Clay,F,11,2,(1) Martina Hingis [SUI] d. (4) Sanchez Vicario,6-3 6-3,,,,,,,,
17-Apr-2000,Hilton Head,Clay,F,10,4,(1) Mary Pierce [FRA] d. (4) Sanchez Vicario,6-1 6-0,,,,,,,,
25-May-1998,Roland Garros,Clay,F,5,8,(4) Sanchez Vicario d. (6) Monica Seles [USA],7-6(5) 0-6 6-2,,,,,,,,
24-Jun-1996,Wimbledon,Grass,F,3,1,(1) Steffi Graf [GER] d. (4) Sanchez Vicario,6-3 7-5,,,,,,,,
27-May-1996,Roland Garros,Clay,F,3,1,(1) Steffi Graf [GER] d. (4) Sanchez Vicario,6-3 6-7(4) 10-8,,,,,,,,
26-Jun-1995,Wimbledon,Grass,F,2,1,(1) Steffi Graf [GER] d. (2) Sanchez Vicario,4-6 6-1 7-5,,,,,,,,
29-May-1995,Roland Garros,Clay,F,1,2,(2) Steffi Graf [GER] d. (1) Sanchez Vicario,7-5 4-6 6-0,,,,,,,,
16-Jan-1995,Australian Open,Hard,F,2,5,(4) Mary Pierce [FRA] d. (1) Sanchez Vicario,6-3 6-2,,,,,,,,
29-Aug-1994,US Open,Hard,F,2,1,(2) Sanchez Vicario d. (1) Steffi Graf [GER],1-6 7-6 6-4,,,,,,,,
23-May-1994,Roland Garros,Clay,F,2,12,(2) Sanchez Vicario d. (12) Mary Pierce [FRA],6-4 6-4,,,,,,,,
17-Jan-1994,Australian Open,Hard,F,2,1,(1) Steffi Graf [GER] d. (2) Sanchez Vicario,6-0 6-2,,,,,,,,
31-Aug-1992,US Open,Hard,F,5,1,(1) Monica Seles [USA] d. (5) Sanchez Vicario,6-3 6-3,,,,,,,,
27-May-1991,Roland Garros,Clay,F,6,1,(1) Monica Seles [USA] d. (5) Sanchez Vicario,6-3 6-4,,,,,,,,
29-May-1989,Roland Garros,Clay,F,10,1,(7) Sanchez Vicario d. (1) Steffi Graf [GER],7-6(6) 3-6 7-5,,,,,,,,
