Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,51,13,38,25.5%,32-80,28.6%,440-614,41.7%,7-6,53.8%,50,52.4%,29.9%,1.5%,5.8%,65.7%,56.7%,40.7%,51.2%,41.8%,46.4%,0.86
Clay,5,1,4,20.0%,4-6,40.0%,42-46,47.7%,1-0,100.0%,5,50.0%,5.6%,0.7%,5.5%,67.8%,57.1%,45.2%,53.3%,44.7%,48.8%,0.96
Grass,10,4,6,40.0%,9-14,39.1%,103-129,44.4%,3-1,75.0%,10,54.9%,23.6%,1.2%,4.0%,65.7%,62.2%,44.8%,56.2%,40.1%,48.0%,0.92
Grand Slams,14,3,11,21.4%,7-24,22.6%,118-180,39.6%,2-1,66.7%,14,44.6%,23.0%,1.2%,5.2%,67.0%,55.5%,41.3%,50.8%,39.7%,45.5%,0.81
Premiers,9,3,6,33.3%,6-12,33.3%,61-92,39.9%,1-0,100.0%,9,56.0%,23.4%,2.8%,6.2%,68.1%,58.2%,41.5%,52.9%,40.6%,46.3%,0.86
Internationals,41,12,29,29.3%,30-60,33.3%,381-483,44.1%,8-6,57.1%,40,54.1%,30.3%,1.2%,5.5%,64.9%,58.7%,42.0%,52.8%,42.4%,47.5%,0.90
Quarter-finals,3,0,3,0.0%,0-6,0.0%,20-38,34.5%,0-1,0.0%,3,39.3%,31.0%,0.6%,7.8%,66.3%,50.9%,35.7%,45.8%,39.1%,42.1%,0.72
vs Righties,59,17,42,28.8%,43-88,32.8%,542-704,43.5%,10-7,58.8%,58,54.8%,28.2%,1.5%,5.4%,65.5%,58.5%,42.2%,52.9%,41.7%,47.1%,0.88
vs Lefties,6,2,4,33.3%,4-9,30.8%,44-70,38.6%,1-0,100.0%,6,43.6%,32.8%,0.8%,5.1%,70.8%,52.4%,39.4%,48.6%,41.8%,45.1%,0.81
vs Top 10,2,0,2,0.0%,0-4,0.0%,15-25,37.5%,0-0,-,2,47.4%,23.8%,0.0%,5.7%,63.1%,57.1%,40.0%,50.8%,39.1%,44.8%,0.79
