Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,29,6,23,20.7%,20-47,29.9%,270-363,42.7%,3-4,42.9%,29,63.8%,22.1%,4.1%,4.4%,62.0%,61.8%,45.0%,55.4%,38.1%,46.8%,0.85
Clay,41,23,18,56.1%,55-46,54.5%,481-459,51.2%,4-4,50.0%,41,67.9%,34.6%,4.6%,4.9%,61.4%,63.4%,48.4%,57.6%,42.7%,50.2%,1.01
Grass,5,1,4,20.0%,3-8,27.3%,45-57,44.1%,0-0,-,5,65.4%,22.0%,3.3%,5.0%,61.4%,62.9%,50.4%,58.1%,36.5%,47.5%,0.87
Grand Slams,17,3,14,17.6%,11-30,26.8%,166-224,42.6%,2-1,66.7%,17,65.6%,19.8%,3.9%,3.6%,64.5%,60.9%,49.0%,56.6%,36.2%,46.5%,0.84
Premiers,12,4,8,33.3%,11-15,42.3%,107-126,45.9%,1-0,100.0%,12,65.8%,26.7%,4.1%,4.3%,60.3%,62.6%,47.5%,56.6%,38.4%,47.9%,0.88
Internationals,41,18,23,43.9%,46-54,46.0%,454-482,48.5%,3-7,30.0%,41,65.5%,31.8%,4.9%,5.4%,60.0%,63.9%,46.1%,56.8%,42.1%,49.4%,0.97
Finals,2,1,1,50.0%,3-3,50.0%,26-28,48.1%,0-0,-,2,55.6%,40.7%,4.7%,9.5%,59.2%,62.0%,40.6%,53.3%,45.2%,49.1%,0.97
Semi-finals,2,2,0,100.0%,4-0,100.0%,26-13,66.7%,1-0,100.0%,2,85.0%,44.4%,9.8%,5.3%,67.7%,74.4%,44.2%,64.7%,46.1%,56.0%,1.30
Quarter-finals,6,2,4,33.3%,4-8,33.3%,53-63,45.7%,0-2,0.0%,6,60.7%,32.8%,4.5%,4.0%,64.2%,61.2%,42.2%,54.4%,41.2%,47.9%,0.90
vs Righties,68,26,42,38.2%,67-92,42.1%,699-788,47.0%,5-8,38.5%,68,65.2%,29.3%,4.3%,4.8%,62.0%,62.3%,46.7%,56.4%,40.6%,48.5%,0.93
vs Lefties,5,2,3,40.0%,7-7,50.0%,64-64,50.0%,1-0,100.0%,5,76.9%,21.0%,6.3%,4.1%,58.9%,69.4%,52.7%,62.5%,38.1%,50.4%,1.02
vs Top 10,3,0,3,0.0%,0-6,0.0%,13-36,26.5%,0-0,-,3,50.0%,4.0%,6.3%,3.8%,65.4%,58.7%,38.2%,51.6%,28.7%,40.2%,0.59
