Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,2,0,2,0.0%,0-4,0.0%,12-25,32.4%,0-0,-,0,,,,,,,,,,,,R32 (2x)
2021,1,0,1,0.0%,1-2,33.3%,9-14,39.1%,0-0,-,0,,,,,,,,,,,,R32 (W15 Norman OK)
2020,9,4,5,44.4%,8-11,42.1%,77-90,46.1%,0-0,-,0,,,,,,,,,,,,QF (W15 Antalya)
2019,27,11,16,40.7%,25-31,44.6%,235-247,48.8%,0-0,-,0,,,,,,,,,,,,QF (3x)
2018,27,12,15,44.4%,28-32,46.7%,278-289,49.0%,4-4,50.0%,0,,,,,,,,,,,,QF (4x)
2017,38,14,24,36.8%,32-47,40.5%,326-375,46.5%,3-3,50.0%,0,,,,,,,,,,,,F (Nanjing $15K)
2016,34,7,27,20.6%,21-56,27.3%,291-410,41.5%,1-5,16.7%,0,,,,,,,,,,,,QF (Kurume $50K)
2015,52,28,24,53.8%,62-54,53.4%,542-508,51.6%,7-3,70.0%,0,,,,,,,,,,,,W (Hong Kong 15K)
2014,49,26,23,53.1%,60-49,55.0%,512-471,52.1%,3-4,42.9%,0,,,,,,,,,,,,W (Cairns 15K)
2013,12,3,9,25.0%,7-19,26.9%,108-136,44.3%,1-2,33.3%,0,,,,,,,,,,,,QF (Evansville IN 10K)
2012,2,1,1,50.0%,2-2,50.0%,19-19,50.0%,0-0,-,0,,,,,,,,,,,,R16 (Kyoto 10K)
2011,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,R32 (Saitama 10K)
Career,254,106,148,41.7%,246-309,44.3%,2413-2596,48.2%,19-21,47.5%,0,,,,,,,,,,,,
