Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,17,8,9,47.1%,3,2,1,66.7%,2007,2017,R32,9,0.99,2.4%,2.7%,66.7%,60.2%,46.7%,55.7%,44.1%,47.5%,52.4%
Roland Garros,8,Clay,10,2,8,20.0%,0,0,0,-,2007,2014,R64,9,0.81,1.1%,2.6%,65.6%,58.2%,37.6%,51.1%,39.7%,52.0%,36.1%
Wimbledon,8,Grass,13,5,8,38.5%,4,1,3,25.0%,2007,2015,R64,7,0.87,2.0%,4.4%,62.8%,62.3%,41.6%,54.6%,39.7%,50.0%,35.0%
US Open,7,Hard,8,1,7,12.5%,2,0,2,0.0%,2006,2012,R64,5,0.78,0.4%,4.8%,59.6%,52.5%,50.9%,51.8%,37.5%,50.0%,45.0%
Olympics,1,,2,1,1,50.0%,1,1,0,100.0%,2008,2008,R32,0,,,,,,,,,,
Fed Cup,8,,26,17,9,65.4%,5,4,1,80.0%,2007,2015,,0,,,,,,,,,,
Dubai,6,Hard,15,8,7,53.3%,3,2,1,66.7%,2008,2017,R16,9,0.95,0.8%,2.7%,61.7%,55.1%,58.6%,56.4%,41.2%,49.1%,53.3%
Taipei,3,Hard,6,3,3,50.0%,1,0,1,0.0%,2012,2017,QF,2,1.18,0.0%,4.6%,60.6%,60.6%,39.5%,52.3%,56.4%,53.8%,50.0%
Kuala Lumpur,5,Hard,15,10,5,66.7%,2,1,1,50.0%,2012,2014,SF,13,1.19,2.0%,2.0%,68.9%,65.8%,51.1%,61.2%,46.3%,59.2%,56.3%
Monterrey,2,Hard,5,3,2,60.0%,2,2,0,100.0%,2013,2014,QF,5,1.04,1.0%,3.8%,64.0%,63.8%,53.8%,60.2%,41.6%,50.0%,58.3%
Sydney,2,Hard,6,4,2,66.7%,0,0,0,-,2013,2014,R16,6,1.09,3.0%,3.7%,63.8%,63.7%,44.3%,56.7%,47.2%,42.9%,56.1%
Auckland,5,Hard,13,7,6,53.8%,3,1,2,33.3%,2007,2013,QF,8,0.91,1.2%,4.0%,61.6%,54.2%,45.5%,50.9%,44.8%,50.0%,49.2%
