Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
10,Melis Sezer [TUR],5,5,50.0%,4,1,3,25.0%,2011,2018,0,,,,,,,,,,
5,Ipek Soylu [TUR],3,2,60.0%,0,0,0,-,2013,2018,0,,,,,,,,,,
5,Cristina Dinu [ROU],2,3,40.0%,1,0,1,0.0%,2009,2017,0,,,,,,,,,,
4,Daria Lodikova [RUS],1,3,25.0%,0,0,0,-,2016,2023,0,,,,,,,,,,
4,Elena Gabriela Ruse [ROU],1,3,25.0%,1,1,0,100.0%,2017,2019,0,,,,,,,,,,
4,Alize Lim [FRA],4,0,100.0%,2,2,0,100.0%,2009,2018,1,1.08,3.7%,7.3%,57.3%,63.8%,37.1%,52.4%,51.4%,54.5%,50.0%
4,Ekaterina Yashina [RUS],4,0,100.0%,0,0,0,-,2015,2018,0,,,,,,,,,,
4,Cemre Anil [TUR],4,0,100.0%,0,0,0,-,2012,2016,0,,,,,,,,,,
3,Nika Radisic [SLO],2,1,66.7%,0,0,0,-,2018,2023,0,,,,,,,,,,
3,Andrea Obradovic [SRB],1,2,33.3%,0,0,0,-,2022,2023,0,,,,,,,,,,
3,Federica Bilardo [ITA],0,3,0.0%,0,0,0,-,2021,2021,0,,,,,,,,,,
3,Kimberley Zimmermann [BEL],3,0,100.0%,0,0,0,-,2015,2019,2,1.20,1.2%,5.3%,62.1%,64.8%,42.2%,56.2%,52.5%,57.1%,50.0%
3,Nuria Parrizas Diaz [ESP],3,0,100.0%,1,1,0,100.0%,2012,2018,0,,,,,,,,,,
3,Olga Ianchuk [UKR],2,1,66.7%,1,1,0,100.0%,2013,2018,0,,,,,,,,,,
3,Viktoria Kamenskaya [RUS],1,2,33.3%,0,0,0,-,2015,2018,0,,,,,,,,,,
