Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Australian Open R128,L vs Hives,75% (3/4),0% (0/5),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2018 Seoul R32,L vs Radwanska,75% (6/8),43% (3/7),0/0,0/0,29% (2/7),1/3,0/1,- (0/0),- (0/0)
2018 Cincinnati R64,L vs Keys,68% (13/19),50% (3/6),1/1,0/0,67% (6/9),6/8,6/7,40% (2/5),20% (1/5)
2018 Washington R32,L vs Stephens,37% (7/19),22% (2/9),0/4,0/0,0% (0/4),1/3,0/1,- (0/0),- (0/0)
2018 Roland Garros R64,L vs Petkovic,71% (5/7),25% (1/4),0/0,0/0,33% (2/6),0/2,0/1,33% (2/6),50% (3/6)
2018 Roland Garros R128,W vs Larsson,77% (10/13),40% (2/5),2/2,1/1,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2018 Rabat R32,L vs Hsieh,44% (7/16),50% (6/12),1/3,0/0,50% (8/16),0/2,0/1,40% (2/5),20% (1/5)
2018 Charleston R64,L vs Krunic,40% (4/10),0% (0/2),0/0,0/0,71% (10/14),2/4,2/3,- (0/0),- (0/0)
2018 Miami R128,L vs Cornet,56% (5/9),50% (2/4),0/0,0/0,55% (6/11),1/3,0/1,- (0/0),- (0/0)
2017 Wimbledon R128,W vs Linette,64% (9/14),80% (4/5),2/3,1/2,67% (6/9),1/2,0/0,- (0/0),- (0/0)
2017 Roland Garros R32,L vs Stosur,17% (1/6),100% (3/3),0/0,0/0,36% (4/11),1/3,1/2,- (0/0),- (0/0)
2017 Roland Garros R64,W vs Kvitova,73% (8/11),67% (4/6),2/2,1/1,71% (10/14),0/0,0/0,83% (10/12),33% (4/12)
2017 Roland Garros R128,W vs Rodina,67% (6/9),50% (7/14),2/2,1/1,56% (5/9),0/0,0/0,- (0/0),- (0/0)
2017 Charleston R32,L vs Safarova,63% (5/8),25% (1/4),0/0,0/0,67% (8/12),3/5,3/4,- (0/0),- (0/0)
2017 Charleston R64,W vs Kenin,58% (7/12),56% (5/9),2/5,1/3,50% (3/6),0/0,0/0,- (0/0),- (0/0)
2017 Miami R16,L vs Lucic,50% (5/10),44% (4/9),0/0,0/0,50% (6/12),3/5,0/1,- (0/0),- (0/0)
2017 Miami R32,W vs Pavlyuchenkova,50% (10/20),40% (6/15),2/4,1/2,67% (6/9),1/2,0/0,- (0/0),- (0/0)
2017 Miami R64,W vs Svitolina,67% (8/12),36% (5/14),2/4,1/1,80% (12/15),0/0,0/0,- (0/0),- (0/0)
2017 Miami R128,W vs Siniakova,67% (10/15),75% (6/8),2/3,1/2,62% (8/13),2/3,0/0,- (0/0),- (0/0)
2017 Indian Wells R128,L vs Pliskova,38% (3/8),0% (0/2),0/0,0/0,58% (7/12),2/4,0/1,- (0/0),- (0/0)
2019 (1 matches),,75.0%,0.0%,-,-,50.0%,0.0%,0.0%,-,-
2018 (8 matches),,56.4%,38.8%,40.0%,100.0%,54.2%,44.0%,53.3%,37.5%,31.3%
2017 (13 matches),,53.0%,48.6%,57.7%,58.3%,59.1%,58.3%,40.0%,83.3%,33.3%
2016 (20 matches),,50.7%,40.2%,41.7%,38.5%,53.6%,43.1%,42.3%,52.5%,47.5%
2015 (24 matches),,56.4%,50.0%,48.6%,47.1%,64.2%,58.3%,46.7%,47.7%,58.1%
Career (132 matches),,55.1%,45.2%,52.1%,54.7%,55.7%,49.5%,49.0%,55.4%,45.5%
