Date,Tournament,Surface,Rd,,Score
25-May-1970,Roland Garros,Clay,F,(1) King / Bob Hewitt [RSA] d. (2) Francoise Durr / Jean Claude Barclay [FRA],3-6 6-4 6-2
27-Apr-1970,Bournemouth,Clay,F,King / Bob Hewitt [RSA] d. Virginia Wade [GBR] / Robert Maud [RSA],6-2 3-6 6-1
06-Apr-1970,Durban,Hard,F,King / Bob Hewitt [RSA] d. Margaret Court [AUS] / Marty Riessen [USA],6-3 6-4
05-Aug-1969,St. Louis Pros,,F,Ann Jones [GBR] / Fred Stolle [AUS] d. King / Rod Laver [AUS],4-Aug
07-Jul-1969,Dublin,Grass,F,King / Roy Emerson [AUS] d. Judy Tegart [AUS] / Frew Mcmillan [RSA],6-4 6-3
01-Jan-1969,Hobart,Grass,F,Rosie Casals [USA] / Tony Roche [AUS] d. King / Fred Stolle [AUS],6-1 6-4
10-Aug-1968,Binghamton Pros,,F,King / Roy Emerson [AUS] d. Rosie Casals [USA] / Andres Gimeno [ESP],6-4 6-3
27-May-1968,Roland Garros,Clay,F,(7) Francoise Durr / Jean Claude Barclay [FRA] d. (1) King / Owen Davidson [AUS],6-1 6-4
19-Jan-1968,Australian Championships,Grass,F,(2) King / Dick Crealy [AUS] d. (4) Margaret Court / Allan Stone [AUS],W/O
30-Aug-1967,US National Championships,Grass,F,King / Owen Davidson [AUS] d. Rosie Casals / Stan Smith [USA],6-3 6-2
26-Jun-1967,Wimbledon,Grass,F,(1) King / Owen Davidson [AUS] d. (2) Maria Bueno [BRA] / Ken Fletcher [AUS],7-5 6-2
22-May-1967,Roland Garros,Clay,F,King / Owen Davidson [AUS] d. Ann Jones [GBR] / Ion Tiriac [ROU],6-3 6-1
13-Mar-1967,Johannesburg,Hard,F,King / Owen Davidson [AUS] d. Maria Bueno [BRA] / Ken Fletcher [AUS],6-1 6-3
13-Feb-1967,Boston,Carpet,F,(1) King / Paul Sullivan [USA] d. (2) Mary Ann Eisel / Chum Steele Iii [USA],6-3 6-3
20-Jun-1966,Wimbledon,Grass,F,(1) Margaret Court / Ken Fletcher [AUS] d. (3) King / Dennis Ralston [USA],4-6 6-3 6-3
28-Mar-1966,Johannesburg,Hard,F,Margaret Court / Fred Stolle [AUS] d. King / Frew Mcmillan [RSA],6-4 7-5
15-Feb-1966,Boston,Carpet,F,(2) King / Paul Sullivan [USA] d. (1) Mary Ann Eisel / Chum Steele Iii [USA],11-13 9-7 9-7
24-May-1965,Surbiton,Grass,F,King / Robert Maud [RSA] d. Judy Tegart [AUS] / Terry Ryan [RSA],6-2 6-8 10-8
26-Dec-1964,Adelaide,Grass,F,Robyn Ebbern / Owen Davidson [AUS] d. King / John Newcombe [AUS],9-7 6-4
25-Mar-1963,Pasadena,Hard,F,King / Gil Rodriguez [USA] d. Sue Behlmar / Marcos Carriedo [USA],6-3 6-2
