Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,8,3,5,37.5%,8-12,40.0%,87-99,46.8%,1-1,50.0%,0,,,,,,,,,,,,QF (Tbilisi $25K)
2015,2,1,1,50.0%,2-3,40.0%,16-23,41.0%,0-0,-,0,,,,,,,,,,,,R16 (Dalian)
2013,4,4,0,100.0%,8-2,80.0%,60-39,60.6%,1-1,50.0%,0,,,,,,,,,,,,W (Ningbo)
2012,7,4,3,57.1%,10-7,58.8%,80-77,51.0%,3-0,100.0%,0,,,,,,,,,,,,SF (Nassau 100K)
2011,2,1,1,50.0%,2-2,50.0%,21-19,52.5%,0-0,-,0,,,,,,,,,,,,R16 (Dubai 75K)
2010,31,22,9,71.0%,49-24,67.1%,370-286,56.4%,4-7,36.4%,0,,,,,,,,,,,,W (Pune 25K)
2009,44,28,16,63.6%,65-38,63.1%,540-440,55.1%,9-3,75.0%,0,,,,,,,,,,,,F (2x)
2008,34,26,8,76.5%,52-19,73.2%,389-244,61.5%,3-2,60.0%,0,,,,,,,,,,,,W (3x)
2007,3,0,3,0.0%,1-6,14.3%,21-40,34.4%,0-1,0.0%,0,,,,,,,,,,,,R32 (3x)
2006,4,2,2,50.0%,4-5,44.4%,44-47,48.4%,1-1,50.0%,0,,,,,,,,,,,,R16 (2x)
Career,139,91,48,65.5%,201-118,63.0%,1628-1314,55.3%,22-16,57.9%,0,,,,,,,,,,,,
