Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Bogota,Clay,R16,54,206,(Q) Jazmin Ortenzi [ARG] d. (3) Osorio,7-6(4) 7-6(5),0.94,0.0%,10.3%,61.5%,50.0%,30.0%,3/11,1:57
30-Mar-2026,Bogota,Clay,R32,54,135,(3) Osorio d. Caroline Dolehide [USA],6-7(5) 6-2 6-1,1.38,0.0%,8.2%,67.0%,72.3%,40.6%,6/9,2:12
17-Mar-2026,Miami,Hard,R64,58,14,(13) Karolina Muchova [CZE] d. Osorio,4-6 6-2 7-5,0.73,0.0%,10.9%,65.5%,64.1%,36.6%,11/16,2:34
17-Mar-2026,Miami,Hard,R128,58,42,Osorio d. Katerina Siniakova [CZE],6-1 6-4,1.49,2.9%,8.6%,60.0%,69.0%,50.0%,7/9,1:19
04-Mar-2026,Indian Wells,Hard,R32,61,16,(16) Naomi Osaka [JPN] d. Osorio,6-1 3-6 6-1,0.71,1.3%,6.3%,58.2%,58.7%,42.4%,4/9,1:39
04-Mar-2026,Indian Wells,Hard,R64,61,18,Osorio d. (18) Iva Jovic [USA],4-6 7-6(4) 6-3,1.03,4.3%,8.6%,63.8%,63.5%,52.4%,11/15,2:39
04-Mar-2026,Indian Wells,Hard,R128,61,780,Osorio d. (WC) Sloane Stephens [USA],6-4 6-1,1.35,0.0%,7.4%,66.7%,63.9%,50.0%,4/7,1:19
23-Feb-2026,Merida,Hard,R16,61,69,(WC) Katie Boulter [GBR] d. Osorio,6-3 0-0 RET,0.73,3.6%,10.7%,57.1%,56.3%,25.0%,1/4,0:38
23-Feb-2026,Merida,Hard,R32,61,36,Osorio d. (6) Janice Tjen [INA],6-4 6-3,1.27,9.1%,10.9%,65.5%,66.7%,47.4%,0/3,1:14
08-Feb-2026,Doha,Hard,R16,80,24,Jelena Ostapenko [LAT] d. (Q) Osorio,6-3 6-1,0.65,2.0%,8.2%,59.2%,51.7%,30.0%,2/8,1:08
08-Feb-2026,Doha,Hard,R32,80,44,(Q) Osorio d. Katerina Siniakova [CZE],6-2 5-7 6-3,1.22,0.0%,6.3%,70.5%,65.7%,46.4%,7/11,2:09
08-Feb-2026,Doha,Hard,R64,80,25,(Q) Osorio d. Emma Raducanu [GBR],2-6 6-4 2-0 RET,1.02,7.5%,9.0%,71.6%,58.3%,57.9%,5/8,1:39
08-Feb-2026,Doha,Hard,Q2,80,251,(11) Osorio d. Storm Hunter [AUS],6-1 7-5,1.56,3.4%,10.2%,61.0%,80.6%,39.1%,2/4,1:13
08-Feb-2026,Doha,Hard,Q1,80,128,(11) Osorio d. Priscilla Hon [AUS],4-6 6-2 6-1,1.24,3.6%,8.4%,67.5%,66.1%,33.3%,7/12,1:52
26-Jan-2026,Manila 125,Hard,F,84,72,(5) Osorio d. (4) Donna Vekic [CRO],2-6 6-3 7-5,1.07,3.0%,3.0%,57.0%,71.9%,48.8%,8/11,2:31
26-Jan-2026,Manila 125,Hard,SF,84,63,(5) Osorio d. (3) Solana Sierra [ARG],6-0 6-1,3.13,11.4%,5.7%,60.0%,85.7%,71.4%,0/0,0:46
26-Jan-2026,Manila 125,Hard,QF,84,49,(5) Osorio d. (2) Alexandra Eala [PHI],6-4 6-4,1.12,1.7%,6.9%,56.9%,57.6%,48.0%,0/4,1:29
26-Jan-2026,Manila 125,Hard,R16,84,244,(5) Osorio d. Mai Hontama [JPN],6-4 4-6 6-2,1.12,1.2%,5.9%,72.9%,67.7%,30.4%,4/8,2:11
26-Jan-2026,Manila 125,Hard,R32,84,298,(5) Osorio d. (Q) Sakura Hosogi [JPN],6-4 6-3,1.27,3.7%,6.2%,64.2%,65.4%,51.7%,7/9,1:26
19-Jan-2026,Australian Open,Hard,R128,84,38,Ann Li [USA] d. Osorio,6-4 6-7(5) 7-5,0.98,3.6%,2.7%,64.0%,71.8%,55.0%,7/11,2:32
