Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,7,3,4,42.9%,1,1,0,100.0%,2023,2026,Q3,7,0.97,3.1%,7.4%,64.9%,55.7%,42.1%,50.9%,47.8%,48.0%,43.2%
Roland Garros,6,Clay,11,5,6,45.5%,1,1,0,100.0%,2020,2025,R128,11,0.92,1.2%,7.2%,65.2%,55.1%,42.2%,50.6%,45.7%,49.5%,44.2%
Wimbledon,3,Grass,4,1,3,25.0%,0,0,0,-,2022,2024,Q2,4,0.84,3.9%,7.3%,64.6%,57.9%,45.2%,53.4%,38.9%,46.4%,38.1%
US Open,1,Hard,1,0,1,0.0%,0,0,0,-,2023,2023,Q1,1,0.77,4.9%,16.4%,59.0%,38.9%,36.0%,37.7%,48.1%,12.5%,57.1%
Auckland,2,Hard,3,1,2,33.3%,1,1,0,100.0%,2024,2026,Q2,3,0.95,1.0%,10.7%,67.0%,58.7%,36.8%,51.5%,46.0%,48.4%,35.1%
Buenos Aires 125,2,Clay,2,0,2,0.0%,0,0,0,-,2023,2025,R32,2,0.94,0.8%,16.7%,55.0%,53.0%,27.8%,41.7%,55.0%,23.5%,55.0%
Colina 125,3,Clay,5,2,3,40.0%,0,0,0,-,2022,2025,QF,5,0.98,1.9%,7.9%,67.5%,55.1%,47.9%,52.7%,46.2%,49.0%,47.1%
Florianopolis 125,2,Clay,8,6,2,75.0%,1,0,1,0.0%,2023,2025,F,8,1.11,2.1%,9.6%,66.9%,60.8%,37.3%,53.0%,52.3%,54.8%,49.0%
Contrexeville 125,2,Clay,3,1,2,33.3%,1,0,1,0.0%,2024,2025,R16,3,0.83,4.4%,11.9%,56.0%,67.4%,38.6%,54.7%,37.7%,35.7%,50.0%
Saint Malo 125,4,Clay,7,3,4,42.9%,0,0,0,-,2022,2025,R16,7,1.01,2.3%,11.7%,58.1%,60.2%,41.9%,52.5%,47.7%,53.0%,61.5%
