Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
20-Oct-2025,Florianopolis 125,Clay,F,205,109,(5) Julia Grabher [AUT] d. Monnet,3-6 6-4 6-0,0.86,2.6%,13.2%,68.4%,53.8%,16.7%,3/11,2:08
15-Jan-2024,W50 Bengaluru,Hard,F,189,142,(1) Darja Semenistaja [LAT] d. (6) Monnet,6-1 3-0 RET,,,,,,,,
24-Jul-2023,W100 Figueira De Foz,Hard,F,186,326,(Q) Alina Korneeva [RUS] d. (6) Monnet,6-0 6-0,,,,,,,,
13-Feb-2023,W25 Santo Domingo,Hard,F,221,211,(2) Monnet d. (8) Darja Semenistaja [LAT],7-5 3-6 6-1,,,,,,,,
26-Sep-2022,W25 Lisbon,Clay,F,259,181,(6) Monnet d. (1) Joanne Zuger [SUI],1-6 6-3 6-2,,,,,,,,
07-Mar-2022,W25 Antalya,Clay,F,279,928,(WC) Petra Marcinko [CRO] d. Monnet,6-4 6-1,,,,,,,,
10-Jan-2022,W25 Monastir,Hard,F,311,339,(7) Maja Chwalinska [POL] d. (6) Monnet,6-4 6-4,,,,,,,,
14-Dec-2020,W15 Monastir,Hard,F,427,395,(2) Monnet d. (1) Yuliya Hatouka [BLR],5-7 7-5 6-3,,,,,,,,
07-Dec-2020,W15 Monastir,Hard,F,433,946,(Q) Lulu Sun [SUI] d. (3) Monnet,6-0 2-6 6-2,,,,,,,,
23-Nov-2020,W15 Monastir,Hard,F,460,421,(3) Monnet d. (2) Yuliya Hatouka [BLR],2-6 6-1 7-5,,,,,,,,
