Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,13,4,9,30.8%,10-19,34.5%,124-152,44.9%,2-2,50.0%,13,66.2%,22.8%,4.9%,3.0%,61.4%,62.3%,46.7%,56.3%,38.3%,47.4%,0.87,R32 (2x)
2024,34,17,17,50.0%,40-42,48.8%,389-400,49.3%,7-3,70.0%,34,74.7%,23.9%,10.1%,4.3%,60.1%,70.4%,47.3%,61.2%,38.0%,49.6%,0.98,SF (3x)
2023,67,40,27,59.7%,92-67,57.9%,826-751,52.4%,14-14,50.0%,65,80.8%,22.9%,9.6%,4.3%,60.4%,72.5%,49.4%,63.3%,38.4%,51.0%,1.05,F (2x)
2022,64,44,20,68.8%,94-55,63.1%,793-672,54.1%,12-15,44.4%,63,80.5%,26.8%,8.5%,4.2%,60.9%,71.5%,49.3%,62.8%,39.8%,51.5%,1.07,W (4x)
2021,45,21,24,46.7%,48-55,46.6%,463-500,48.1%,6-3,66.7%,44,66.9%,29.3%,5.3%,3.9%,62.9%,62.4%,48.6%,57.3%,41.3%,49.5%,0.97,SF (Lausanne)
2020,22,11,11,50.0%,25-28,47.2%,241-265,47.6%,4-3,57.1%,22,68.1%,26.9%,4.8%,3.9%,62.3%,63.5%,49.1%,58.1%,39.9%,49.0%,0.95,QF (Lyon)
2019,54,27,27,50.0%,60-66,47.6%,577-592,49.4%,6-7,46.2%,54,71.4%,27.2%,5.3%,2.9%,66.3%,64.1%,50.4%,59.5%,39.6%,49.7%,0.98,W (Nottingham)
2018,61,39,22,63.9%,86-56,60.6%,731-645,53.1%,7-12,36.8%,61,75.0%,31.4%,5.5%,3.0%,67.3%,65.2%,51.3%,60.7%,41.1%,51.1%,1.04,W (Tianjin)
2017,70,48,22,68.6%,101-60,62.7%,848-708,54.5%,12-9,57.1%,70,73.8%,32.6%,6.8%,4.1%,64.2%,66.1%,50.0%,60.3%,42.7%,51.6%,1.08,W (2x)
2016,61,36,25,59.0%,80-62,56.3%,695-655,51.5%,10-4,71.4%,61,70.8%,31.2%,5.7%,4.1%,60.2%,66.3%,50.2%,59.9%,41.5%,50.7%,1.03,W (2x)
2015,55,28,27,50.9%,67-63,51.5%,637-605,51.3%,7-9,43.8%,43,71.2%,30.5%,6.2%,5.9%,65.3%,66.3%,52.7%,61.6%,38.4%,50.2%,1.00,F (2x)
2014,49,26,23,53.1%,55-55,50.0%,533-549,49.3%,10-4,71.4%,43,-,-,4.8%,5.4%,59.6%,65.1%,46.7%,57.7%,40.4%,49.1%,0.95,W (Bogota)
2013,22,8,14,36.4%,22-29,43.1%,222-259,46.2%,3-4,42.9%,19,-,-,6.4%,7.5%,58.8%,66.5%,43.9%,57.2%,38.0%,47.8%,0.89,R16 (3x)
2012,7,1,6,14.3%,5-12,29.4%,75-90,45.5%,0-4,0.0%,7,-,-,4.0%,10.9%,53.6%,69.6%,39.8%,55.8%,39.6%,48.1%,0.90,R16 (Seoul)
2011,6,2,4,33.3%,7-9,43.8%,74-82,47.4%,1-0,100.0%,6,-,-,5.6%,8.0%,55.3%,66.5%,42.6%,55.8%,40.1%,48.4%,0.91,R32 (Quebec City)
Career,630,352,278,55.9%,792-678,53.9%,7228-6925,51.1%,101-93,52.1%,605,74.0%,28.2%,6.7%,4.3%,62.4%,66.9%,49.1%,60.2%,40.1%,50.3%,1.01,
