Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 US Open R16,L vs Haddad Maia,23,32,0.7,12.2%,16.9%,19,28,0.7,11.0%,16.3%,7.0%,4.1%,1.0,21.2%,20.6%
2024 US Open R32,W vs Ponchet,20,8,2.5,18.9%,7.5%,17,8,2.1,18.1%,8.5%,11.7%,6.4%,0.7,17.9%,25.5%
2024 US Open R64,W vs Zarazua,19,26,0.7,15.4%,21.1%,18,21,0.9,15.5%,18.1%,9.5%,6.0%,0.6,12.2%,19.5%
2024 US Open R128,W vs Hibino,10,6,1.7,13.2%,7.9%,9,4,2.3,12.7%,5.6%,5.6%,4.2%,0.3,7.9%,31.6%
2024 Cincinnati R64,W vs Kalinina,22,18,1.2,18.5%,15.1%,16,14,1.1,15.8%,13.9%,5.9%,7.9%,0.7,16.0%,21.8%
2024 Paris Olympics R64,W vs Sherif,15,22,0.7,8.3%,12.2%,14,21,0.7,8.0%,12.1%,1.7%,6.3%,0.9,22.1%,26.0%
2024 Wimbledon R32,L vs Rybakina,4,6,0.7,4.6%,6.9%,4,4,1.0,5.6%,5.6%,2.8%,2.8%,1.7,41.4%,24.1%
2024 Wimbledon R64,W vs Fernandez,16,25,0.6,8.0%,12.6%,16,20,0.8,8.5%,10.6%,3.2%,4.3%,1.0,22.6%,22.1%
2024 Wimbledon R128,W vs Parks,5,4,1.3,6.4%,5.1%,3,3,1.0,4.5%,4.5%,1.5%,3.0%,0.4,17.9%,42.3%
2024 Bad Homburg R32,W vs Svitolina,30,32,0.9,14.3%,15.2%,26,25,1.0,13.8%,13.3%,5.9%,6.9%,0.9,16.7%,18.1%
2024 Madrid R128,L vs Errani,58,57,1.0,26.9%,26.4%,57,55,1.0,26.8%,25.8%,12.7%,14.1%,1.2,13.9%,12.0%
2024 Charleston R64,W vs Kessler,20,12,1.7,24.1%,14.5%,17,12,1.4,21.5%,15.2%,11.4%,7.6%,0.2,4.8%,25.3%
2024 Miami R64,L vs Kalinina,32,47,0.7,12.8%,18.8%,31,40,0.8,13.2%,17.0%,6.8%,6.4%,1.1,21.6%,20.4%
2024 Miami R128,W vs Burel,17,10,1.7,15.5%,9.1%,17,8,2.1,17.2%,8.1%,9.1%,6.1%,0.6,17.3%,29.1%
2024 Indian Wells R16,W vs Kerber,15,19,0.8,11.9%,15.1%,13,19,0.7,10.7%,15.7%,3.3%,7.4%,0.5,15.9%,31.0%
2024 Indian Wells R32,W vs Volynets,26,31,0.8,14.9%,17.8%,26,27,1.0,15.6%,16.2%,7.8%,7.2%,0.6,11.5%,18.4%
2024 Indian Wells R64,W vs Vekic,14,11,1.3,9.4%,7.4%,12,8,1.5,9.2%,6.1%,3.8%,4.6%,1.0,25.5%,25.5%
2024 Indian Wells R128,W vs Zhu,17,22,0.8,12.5%,16.2%,14,22,0.6,10.8%,16.9%,4.6%,6.2%,0.4,12.5%,33.8%
2024 Australian Open R64,L vs Timofeeva,16,26,0.6,8.7%,14.2%,16,25,0.6,8.8%,13.8%,3.9%,5.0%,1.1,21.9%,20.2%
2023 US Open R16,L vs Gauff,14,27,0.5,8.9%,17.2%,13,25,0.5,9.0%,17.2%,4.8%,4.1%,0.8,21.0%,28.0%
Career (289 matches),,4698,5401,0.9,11.8%,13.6%,4044,4834,0.8,11.0%,13.1%,4.7%,4.8%,0.8,19.5%,25.1%
