Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1989,42,32,10,76.2%,64-20,76.2%,444-275,61.8%,5-2,71.4%,0,,,,,,,,,,,,F (3x)
1988,74,61,13,82.4%,119-31,79.3%,822-453,64.5%,5-4,55.6%,0,,,,,,,,,,,,W (4x)
1987,85,72,13,84.7%,144-33,81.4%,971-508,65.7%,4-1,80.0%,0,,,,,,,,,,,,W (5x)
1986,66,59,7,89.4%,115-21,84.6%,762-374,67.1%,5-3,62.5%,0,,,,,,,,,,,,W (6x)
1985,89,81,8,91.0%,163-25,86.7%,1065-506,67.8%,4-2,66.7%,0,,,,,,,,,,,,W (10x)
1984,83,75,8,90.4%,148-26,85.1%,976-443,68.8%,3-4,42.9%,0,,,,,,,,,,,,W (8x)
1983,76,64,12,84.2%,123-29,80.9%,825-459,64.3%,7-3,70.0%,0,,,,,,,,,,,,W (7x)
1982,87,81,6,93.1%,162-20,89.0%,1023-406,71.6%,3-2,60.0%,0,,,,,,,,,,,,W (12x)
1981,82,73,9,89.0%,145-20,87.9%,948-411,69.8%,7-1,87.5%,0,,,,,,,,,,,,W (9x)
1980,81,72,9,88.9%,137-26,84.0%,908-432,67.8%,2-4,33.3%,0,,,,,,,,,,,,W (8x)
1979,103,89,14,86.4%,177-36,83.1%,1200-586,67.2%,3-4,42.9%,0,,,,,,,,,,,,W (8x)
1978,60,56,4,93.3%,114-15,88.4%,746-320,70.0%,1-1,50.0%,0,,,,,,,,,,,,W (7x)
1977,76,72,4,94.7%,142-13,91.6%,901-373,70.7%,6-1,85.7%,0,,,,,,,,,,,,W (12x)
1976,75,70,5,93.3%,140-22,86.4%,931-429,68.5%,8-4,66.7%,0,,,,,,,,,,,,W (11x)
1975,105,99,6,94.3%,194-21,90.2%,1254-516,70.8%,7-2,77.8%,0,,,,,,,,,,,,W (16x)
1974,98,92,6,93.9%,185-23,88.9%,1211-479,71.7%,3-5,37.5%,0,,,,,,,,,,,,W (14x)
1973,104,93,11,89.4%,187-30,86.2%,1225-564,68.5%,10-3,76.9%,0,,,,,,,,,,,,W (11x)
1972,57,49,8,86.0%,98-20,83.1%,664-343,65.9%,5-2,71.4%,0,,,,,,,,,,,,W (4x)
1971,32,30,2,93.8%,59-10,85.5%,396-162,71.0%,2-3,40.0%,0,,,,,,,,,,,,W (7x)
1970,21,17,4,81.0%,35-8,81.4%,233-100,70.0%,2-0,100.0%,0,,,,,,,,,,,,W (5x)
1969,6,4,2,66.7%,8-4,66.7%,59-41,59.0%,0-0,-,0,,,,,,,,,,,,W (Delray Beach)
Career,1502,1341,161,89.3%,2659-453,85.4%,17564-8180,68.2%,92-51,64.3%,0,,,,,,,,,,,,
