Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Jan-2023,W15 Monastir,Hard,F,466,471,(1) Fiona Ferro [FRA] d. (2) Ferrando,6-4 6-3,,,,,,,,
21-Feb-2022,W25 Macon,Hard,F,294,122,(1) Vitalia Diatchenko [RUS] d. Ferrando,6-4 6-3,,,,,,,,
11-Mar-2019,W15 Sharm El Sheikh,Hard,F,468,836,Anna Kubareva [BLR] d. Ferrando,7-5 6-4,,,,,,,,
24-Jul-2017,Granby $60K,Hard,F,354,289,Ferrando d. Katherine Sebov [CAN],6-2 6-3,,,,,,,,
20-Feb-2017,Nanjing $15K,Hard,F,352,377,(4) Ferrando d. (6) Hanyu Guo [CHN],6-0 6-2,,,,,,,,
21-Nov-2016,Heraklion $10K,Hard,F,367,410,(3) Marta Paigina [RUS] d. (1) Ferrando,7-5 6-3,,,,,,,,
22-Aug-2016,Caslano $10K,Clay,F,319,463,(2) Georgia Brescia [ITA] d. (1) Ferrando,6-4 3-1 RET,,,,,,,,
11-Apr-2016,Heraklion $10K,Hard,F,357,519,Raluka Serban [CYP] d. (4) Ferrando,6-3 7-6(4),,,,,,,,
04-Apr-2016,Heraklion $10K,Hard,F,358,351,(2) Victoria Kan [RUS] d. (3) Ferrando,6-4 7-5,,,,,,,,
02-Nov-2015,Loughborough 15K,Hard,F,388,240,(1) Jana Fett [CRO] d. (8) Ferrando,6-2 6-1,,,,,,,,
