Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Austin R32,W vs Andreescu,1.19,1.23,59.3,2.1,3.6%,52.7%,9.6%,61.5%,38.1%,51.2%
2024 Wimbledon R64,L vs Collins,0.90,0.73,46.9,2.2,5.4%,45.9%,12.1%,39.4%,42.4%,51.6%
2024 Wimbledon R128,W vs Sherif,1.11,2.14,36.0,2.2,4.2%,70.8%,12.5%,75.0%,39.1%,66.7%
2024 s Hertogenbosch SF,L vs Andreescu,0.82,0.62,39.0,2.3,6.7%,56.7%,3.8%,46.2%,35.3%,38.7%
2024 s Hertogenbosch QF,W vs Krunic,1.19,1.61,47.8,3.6,6.1%,72.7%,12.9%,67.7%,42.9%,37.5%
2023 Wimbledon R32,L vs Alexandrova,0.92,0.37,38.8,2.0,3.8%,42.3%,16.7%,58.3%,22.7%,16.7%
2023 Wimbledon R64,W vs Niemeier,1.06,1.18,67.8,10.8,5.6%,66.7%,0.0%,56.9%,33.3%,52.0%
2023 Wimbledon R128,W vs Noskova,0.94,1.28,67.4,4.0,12.5%,72.9%,18.6%,69.8%,35.2%,42.9%
2023 Roland Garros R128,L vs Gracheva,0.90,0.78,50.9,2.2,0.0%,46.2%,7.9%,63.2%,39.6%,39.6%
2023 Indian Wells R128,W vs Collins,1.12,1.37,51.3,2.2,12.5%,56.3%,6.9%,65.5%,42.1%,54.1%
2022 US Open R32,L vs Kudermetova,1.17,0.13,34.6,2.2,5.3%,36.8%,15.8%,42.1%,6.3%,7.1%
2022 US Open R64,W vs Dart,1.08,2.53,33.9,2.0,13.6%,86.4%,0.0%,64.7%,52.0%,56.5%
2022 Wimbledon R64,L vs Juvan,1.04,0.65,51.3,3.9,4.8%,57.1%,0.0%,51.3%,27.6%,29.6%
2022 Wimbledon R128,W vs Inglis,1.15,1.22,60.1,4.4,8.2%,57.1%,9.5%,66.7%,41.2%,40.0%
2021 US Open R128,L vs Martic,0.99,0.64,44.1,2.1,0.0%,51.6%,6.7%,46.7%,29.0%,36.7%
2021 W25 Prague F,L vs Niemeier,0.92,0.65,45.4,2.1,0.0%,65.5%,4.0%,24.0%,51.9%,21.7%
2019 W25 Bytom R32,W vs Falkowska,1.17,2.00,33.4,2.0,-,54.2%,-,79.2%,53.8%,60.0%
2019 W25 Baja SF,L vs Sherif,1.03,0.70,51.0,2.3,-,42.9%,-,48.6%,37.9%,36.0%
2019 W25 Baja QF,W vs Juhaszova,0.99,1.57,41.3,2.1,-,62.5%,-,60.0%,69.2%,53.8%
2019 W60 Stare Splavy R32,L vs Hradecka,0.87,0.70,51.7,6.6,-,48.8%,-,57.6%,38.9%,37.5%
2026 (1 matches),,1.19,1.23,59.3,2.1,3.6%,52.7%,9.6%,61.5%,38.1%,51.2%
2024 (4 matches),,0.99,1.04,43.1,2.5,5.6%,60.5%,10.5%,56.1%,40.0%,47.0%
2023 (5 matches),,0.99,1.01,58.0,2.9,7.0%,59.3%,9.2%,62.7%,35.6%,44.1%
2022 (4 matches),,1.11,0.96,49.2,2.8,7.6%,59.1%,6.0%,57.3%,35.5%,36.7%
2021 (2 matches),,0.95,0.64,44.7,2.1,0.0%,58.3%,5.5%,36.4%,39.7%,30.2%
Career (116 matches),,1.02,1.11,58.6,2.8,3.0%,57.7%,3.8%,57.8%,45.1%,46.2%
