Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
18-Oct-2021,W25 Rio do Sul,Clay,F,234,138,(1) Panna Udvardy [HUN] d. (2) Seguel,6-1 6-0,,,,,,,,
20-Jan-2020,W25 Vero Beach FL,Clay,F,262,267,(6) Seguel d. (7) Tereza Mrdeza [CRO],7-5 6-4,,,,,,,,
06-May-2019,W25 Rome,Clay,F,290,442,Seguel d. (SE) Gabriela Ce [BRA],6-1 7-5,,,,,,,,
08-Apr-2019,W25 Tunis,Clay,F,281,327,Jaqueline Cristian [ROU] d. (6) Seguel,6-4 6-0,,,,,,,,
09-Oct-2017,Seville $25K,Clay,F,216,455,Seguel d. Marie Benoit [BEL],2-6 6-1 6-2,,,,,,,,
12-Jun-2017,Barcelona $60K,Clay,F,221,202,Seguel d. Amandine Hesse [FRA],3-6 7-6(5) 7-6(3),,,,,,,,
21-Nov-2016,Santiago $10K,Clay,F,233,183,(1) Paula Cristina Goncalves [BRA] d. (2) Seguel,4-6 4-4 RET,,,,,,,,
25-Jul-2016,Campos Do Jordao $25K,Hard,F,223,276,(3) Seguel d. (6) Aleksandrina Naydenova [BUL],7-5 4-6 7-5,,,,,,,,
27-Jun-2016,Helsingborg $25K,Clay,F,250,204,(1) Susanne Celik [SWE] d. (2) Seguel,6-4 6-2,,,,,,,,
23-Nov-2015,Santiago $10K,Clay,F,322,611,(3) Seguel d. Catalina Pella [ARG],2-6 6-2 RET,,,,,,,,
