Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),678,62,,,,,,,,,,,,
2025,197,367,141,1648,129,1621,134,1586,130,1518,1575,10
2024,108,696,118,1677,107,1654,115,1601,111,1543,221,356
2023,204,366,105,1668,88,1653,87,1629,121,1517,,
2022,53,981,77,1747,57,1745,78,1646,86,1560,,
2021,419,126,,,,,,,,,,
2020,450,96,,,,,,,,,,
2019,242,251,103,1696,86,1688,99,1627,118,1540,147,522
2018,35,1335,38,1866,36,1825,26,1803,61,1644,117,631
2017,25,1865,29,1904,27,1857,19,1829,42,1670,56,1420
2016,25,1665,17,1936,18,1870,18,1828,32,1700,94,887
2015,36,1300,43,1828,49,1749,39,1746,69,1616,181,364
2014,233,201,206,1496,203,1462,,,,,390,111
2013,149,428,238,1444,238,1399,240,1346,192,1375,553,75
2012,226,258,250,1406,250,1362,,,181,1398,473,91
2011,338,140,,,,,,,,,838,25
2010,539,54,,,,,,,,,,
2009,962,9,,,,,,,,,,
