Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
26-May-2025,W15 San Diego CA,Hard,F,516,1114,Katie Swan [GBR] d. Radanovic,6-4 6-0,0.45,3.4%,3.4%,61.0%,50.0%,39.1%,5/10,1:34
02-Sep-2024,W50 Slobozia,Clay,F,271,404,Sada Nahimana [BDI] d. (6) Radanovic,6-4 6-1,,,,,,,,
26-Feb-2024,W35 Helsinki,Hard,F,243,519,(Q) Malene Helgo [NOR] d. (7) Radanovic,6-3 6-2,,,,,,,,
06-Nov-2023,W25 Santo Domingo,Hard,F,265,408,(7) Ana Sofia Sanchez [MEX] d. (3) Radanovic,1-6 7-6(0) 6-2,,,,,,,,
11-Sep-2023,W40 Skopje,Clay,F,362,683,(14) Radanovic d. (SR) Iva Primorac [CRO],6-1 6-3,,,,,,,,
07-Aug-2023,W25 Koksijde,Clay,F,464,461,Radanovic d. Hanne Vandewinkel [BEL],4-6 7-6(4) 6-2,,,,,,,,
20-Feb-2023,W15 Monastir,Hard,F,897,574,(Q) Radanovic d. (2) Fangzhou Liu [CHN],6-7(4) 6-3 6-2,,,,,,,,
28-Feb-2022,W15 Antalya,Clay,F,429,484,Rosa Vicens Mas [ESP] d. (6) Radanovic,6-4 5-7 6-1,,,,,,,,
20-Jan-2020,W25 Kazan,Hard,F,278,298,(4) Anastasia Zakharova [RUS] d. (1) Radanovic,6-3 6-2,,,,,,,,
23-Sep-2019,W25 Kaposvar,Clay,F,324,650,(5) Radanovic d. Veronika Erjavec [SLO],6-2 6-3,,,,,,,,
