Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Roland Garros R128,L vs Sabalenka,86.6,87.6,4.5,,,98,75,82.7,3.1,,,86,76
2018 US Open R16,L vs Keys,88.4,89.5,5.6,90.8,87.3,101,76,84.9,2.7,87.0,84.7,88,80
2018 US Open R32,W vs Kerber,83.5,84.7,5.8,86.9,81.6,100,74,79.7,3.6,77.0,79.7,84,68
2018 Wimbledon QF,L vs Ostapenko,90.5,93.0,4.1,95.0,90.1,100,81,86.4,3.2,88.5,85.7,93,79
2018 Wimbledon R16,W vs Hsieh,92.8,94.7,4.2,96.7,90.9,103,84,86.2,2.5,91.0,,91,82
2018 Wimbledon R32,W vs Mertens,91.2,95.2,4.2,97.0,87.0,100,84,86.6,3.4,89.3,83.0,93,80
2018 Wimbledon R64,W vs Konta,94.0,95.8,3.2,96.5,96.4,103,89,87.1,3.0,89.5,87.0,91,81
2017 US Open R64,L vs Stephens,85.3,87.7,6.3,92.3,81.4,99,76,80.0,4.4,79.7,79.3,88,64
2017 US Open R128,W vs Cepelova,88.6,90.8,5.3,92.7,88.7,99,78,82.4,3.2,85.5,81.2,89,77
2017 Wimbledon R32,L vs Konjuh,91.2,94.8,3.9,97.4,93.1,104,87,84.0,4.2,,85.0,91,72
2017 Wimbledon R64,W vs Brady,92.3,94.2,4.3,96.7,88.9,100,81,85.1,8.2,84.0,,109,79
2017 Wimbledon R128,W vs Petkovic,86.5,89.3,6.3,93.9,89.6,101,64,78.9,6.6,80.5,71.5,91,66
2017 Roland Garros R64,L vs Jabeur,90.4,93.9,5.1,97.1,88.6,101,83,82.8,3.5,80.5,82.5,88,75
2017 Roland Garros R128,W vs Arruabarrena,90.6,94.4,5.5,99.0,92.0,103,85,83.7,3.4,86.4,82.3,91,77
2017 Australian Open R32,L vs Makarova,87.5,91.3,4.5,93.0,90.2,100,80,79.9,3.6,81.6,75.0,85,70
2017 Australian Open R64,W vs Hsieh,89.1,93.4,4.9,93.9,92.0,100,82,80.0,3.7,82.1,77.0,86,70
2017 Australian Open R128,W vs Allertova,89.8,93.9,5.3,94.9,90.3,102,83,81.8,3.8,83.7,81.0,88,72
2016 US Open R32,L vs Tsurenko,89.3,92.5,4.1,94.4,94.3,99,80,81.7,4.6,78.0,80.0,90,69
2016 US Open R64,W vs Rodina,86.4,89.3,6.9,91.9,82.3,100,74,81.9,4.3,84.0,81.7,90,71
2016 US Open R128,W vs Linette,87.4,92.3,5.2,95.1,88.5,103,75,79.3,3.8,85.0,78.0,87,73
Career (64 matches),,89.7,92.9,4.8,94.3,89.7,108,64,82.8,3.9,83.8,81.1,109,64
