Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 W50 Bistrita QF,L vs Bulgaru,0.90,0.71,51.9,3.5,0.0%,61.8%,3.4%,44.8%,37.5%,34.5%
2019 W15 Moscow R16,L vs Saidenova,0.89,0.53,31.8,2.4,-,48.3%,-,30.4%,40.7%,30.8%
2019 W15 Moscow R32,W vs Daniels Sierra,1.14,1.62,44.3,2.1,-,63.0%,-,64.0%,50.0%,53.8%
2019 W15 Savitaipale QF,W vs Malygina,0.94,1.12,52.5,4.0,-,54.1%,-,51.4%,55.3%,56.8%
2019 W15 Savitaipale R32,W vs Anttila,0.95,2.10,36.6,2.0,-,70.0%,-,72.2%,65.2%,61.9%
2019 W25 Montpellier R32,L vs Yerolymos,0.94,0.62,48.2,2.2,-,41.7%,-,19.0%,35.3%,56.7%
2019 W25 Minsk R32,L vs Komardina,1.00,0.76,51.8,2.7,-,46.5%,-,53.7%,46.4%,27.3%
2019 W15 Antalya R32,W vs Garkusha,1.03,1.68,38.7,2.1,-,53.6%,-,70.4%,60.7%,63.6%
2019 W15 Antalya R16,L vs Ibbou,1.00,0.56,38.9,2.4,0.0%,36.7%,0.0%,50.0%,41.7%,20.0%
2019 W15 Antalya R32,W vs Ovcharenko,0.97,1.16,47.6,9.3,-,51.4%,-,50.0%,60.0%,57.6%
2019 W25 Khimki QF,L vs Herdzelas,0.96,0.75,61.7,2.1,0.0%,56.4%,0.0%,55.3%,30.6%,38.7%
2019 W25 Khimki R16,W vs Laskutova,1.06,2.06,32.5,2.4,0.0%,78.3%,0.0%,52.4%,47.8%,85.7%
2019 W25 Calvi R32,L vs Leonard,1.00,0.64,38.3,2.2,3.7%,37.0%,0.0%,29.2%,56.5%,26.3%
2019 W15 Sharm El Sheikh QF,L vs Gilchrist,0.89,0.66,48.3,2.3,-,51.5%,-,60.6%,20.6%,45.2%
2019 W15 Sharm El Sheikh R16,W vs Koller,1.21,1.87,32.8,2.2,0.0%,66.7%,0.0%,52.0%,56.0%,69.6%
2019 W15 Sharm El Sheikh R16,L vs Lutzeier,0.74,0.85,69.0,10.0,2.6%,56.4%,0.0%,66.7%,39.5%,51.3%
2019 W15 Sharm El Sheikh R32,W vs Rushiti,1.19,1.26,65.9,4.1,4.3%,55.3%,7.1%,54.8%,50.0%,45.0%
2019 W15 Shymkent QF,L vs Rakhimova,1.18,0.70,58.5,2.2,-,51.5%,-,42.4%,19.4%,46.2%
2019 W15 Shymkent R16,W vs Tkacheva,1.08,1.42,48.0,3.6,-,73.0%,-,54.5%,25.0%,69.2%
2019 W15 Shymkent R32,W vs Paulenka,1.13,1.64,45.5,2.0,-,62.1%,-,70.4%,44.4%,54.5%
2025 (1 matches),,0.90,0.71,51.9,3.5,0.0%,61.8%,3.4%,44.8%,37.5%,34.5%
2019 (19 matches),,1.01,1.04,48.8,2.6,0.7%,55.0%,0.5%,53.1%,43.5%,51.1%
2017 (27 matches),,1.04,1.09,61.5,2.9,1.6%,56.2%,1.0%,51.7%,49.5%,46.4%
2016 (16 matches),,1.04,1.06,57.6,2.6,0.2%,50.8%,0.4%,48.7%,51.9%,50.4%
2015 (5 matches),,1.04,1.44,59.9,2.4,1.2%,61.6%,0.0%,58.9%,52.5%,56.8%
Career (68 matches),,1.03,1.08,57.2,2.7,1.0%,55.1%,0.7%,51.7%,48.6%,49.1%
