Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Australian Open R32,L vs Andreeva,45% (5/11),25% (2/8),0/0,0/0,43% (3/7),0/2,0/1,- (0/0),- (0/0)
2025 Montreal R128,L vs Raducanu,80% (4/5),29% (2/7),0/0,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2025 s Hertogenbosch F,L vs Mertens,58% (7/12),25% (2/8),0/2,0/0,25% (1/4),2/4,1/2,40% (2/5),33% (2/6)
2025 s Hertogenbosch QF,W vs Andreescu,57% (8/14),67% (4/6),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2025 Australian Open R64,L vs Keys,52% (12/23),71% (5/7),1/4,0/0,50% (4/8),3/5,2/3,0% (0/4),25% (1/4)
2024 US Open R64,W vs Krejcikova,75% (9/12),50% (4/8),2/4,1/1,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2024 US Open R128,W vs Grabher,80% (8/10),67% (4/6),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2024 Wimbledon R128,L vs Rybakina,20% (3/15),50% (1/2),0/0,0/0,44% (4/9),1/3,1/2,- (0/0),- (0/0)
2023 Cluj Napoca F,L vs Korpatsch,60% (3/5),50% (4/8),0/0,0/0,40% (4/10),0/2,0/1,- (0/0),- (0/0)
2023 US Open R128,L vs Pliskova,67% (4/6),17% (1/6),0/0,0/0,56% (5/9),0/2,0/1,- (0/0),- (0/0)
2023 Auckland R32,W vs Routliffe,56% (10/18),50% (6/12),2/2,1/1,60% (6/10),0/1,0/0,- (0/0),- (0/0)
2022 US Open R64,L vs Gauff,60% (6/10),33% (2/6),0/2,0/0,20% (1/5),0/2,0/1,33% (2/6),40% (2/5)
2022 Wimbledon R128,L vs Gauff,59% (10/17),67% (4/6),1/1,0/0,84% (21/25),2/4,0/1,- (0/0),- (0/0)
2022 Rome R32,L vs Swiatek,50% (1/2),100% (2/2),0/0,0/0,42% (5/12),2/4,0/1,- (0/0),- (0/0)
2022 Dubai R16,L vs Halep,80% (4/5),50% (1/2),0/0,0/0,29% (2/7),1/3,0/1,- (0/0),- (0/0)
2022 Melbourne 1 R16,L vs Halep,50% (1/2),50% (2/4),0/0,0/0,30% (3/10),0/2,0/1,- (0/0),- (0/0)
2021 Cluj-Napoca 2 R32,L vs Halep,43% (3/7),0% (0/1),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2021 Chicago 2 R16,L vs Svitolina,33% (5/15),33% (1/3),0/0,0/0,75% (12/16),1/3,1/2,- (0/0),- (0/0)
2021 US Open R128,L vs Vondrousova,20% (2/10),43% (3/7),0/2,0/0,36% (4/11),0/2,0/1,- (0/0),- (0/0)
2021 Palermo F,L vs Collins,50% (4/8),29% (2/7),0/0,0/0,69% (11/16),2/4,0/1,- (0/0),- (0/0)
2026 (1 matches),,45.5%,25.0%,-,-,42.9%,0.0%,0.0%,-,-
2025 (4 matches),,57.4%,46.4%,37.5%,100.0%,43.5%,45.5%,50.0%,22.2%,30.0%
2024 (3 matches),,54.1%,56.3%,66.7%,100.0%,52.9%,33.3%,50.0%,-,-
2023 (3 matches),,58.6%,42.3%,100.0%,100.0%,51.7%,0.0%,0.0%,-,-
2022 (5 matches),,61.1%,55.0%,33.3%,-,54.2%,33.3%,0.0%,33.3%,40.0%
Career (129 matches),,55.1%,50.2%,57.8%,56.3%,54.0%,43.6%,42.0%,49.2%,48.8%
