Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Miami R16,W vs Gibson,50% (4/8),100% (4/4),0/0,13% (1/8),100% (1/1),4/4,2/2,0/0,1/1,0/0
2026 Miami R64,W vs Putintseva,44% (4/9),100% (4/4),0/1,22% (2/9),50% (1/2),2/3,1/1,0/0,0/0,0/0
2026 Indian Wells F,L vs Sabalenka,47% (7/15),43% (3/7),0/3,27% (4/15),25% (1/4),2/3,1/1,2/2,0/0,1/1
2026 Indian Wells SF,W vs Svitolina,55% (6/11),67% (4/6),1/2,27% (3/11),33% (1/3),4/4,2/3,1/1,1/2,0/0
2026 Indian Wells R32,W vs Kostyuk,60% (6/10),83% (5/6),2/3,40% (4/10),25% (1/4),2/3,0/0,0/0,0/0,0/0
2026 Dubai R32,W vs Birrell,57% (4/7),100% (4/4),0/0,13% (1/8),100% (1/1),4/4,2/2,0/0,1/1,0/0
2026 Doha R32,W vs Wang,67% (6/9),67% (4/6),0/1,22% (2/9),50% (1/2),2/2,0/0,0/0,0/0,0/0
2026 Australian Open F,W vs Sabalenka,27% (4/15),75% (3/4),0/1,33% (5/15),60% (3/5),3/3,2/2,0/1,1/1,0/0
2026 Australian Open SF,W vs Pegula,60% (6/10),67% (4/6),2/2,27% (3/11),0% (0/3),2/4,1/3,0/0,0/2,0/0
2026 Australian Open QF,W vs Swiatek,44% (4/9),100% (4/4),1/1,20% (2/10),50% (1/2),3/3,1/1,0/0,1/1,0/0
2026 Australian Open R16,W vs Mertens,50% (4/8),100% (4/4),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,0/0,0/0
2026 Australian Open R32,W vs Valentova,63% (5/8),100% (5/5),2/2,56% (5/9),60% (3/5),4/4,1/1,0/0,1/1,0/0
2026 Australian Open R64,W vs Gracheva,50% (5/10),100% (5/5),0/2,30% (3/10),33% (1/3),2/3,0/1,0/0,0/0,0/0
2026 Australian Open R128,W vs Juvan,22% (2/9),100% (2/2),0/0,10% (1/10),100% (1/1),1/1,1/1,0/0,1/1,0/0
2026 Brisbane R16,W vs Badosa,67% (6/9),83% (5/6),1/1,38% (3/8),67% (2/3),3/3,0/0,0/0,0/0,0/0
2025 Riyadh Finals F,W vs Sabalenka,40% (4/10),25% (1/4),0/0,27% (3/11),100% (3/3),1/1,1/1,2/2,0/0,0/0
2025 Riyadh Finals SF,W vs Pegula,43% (6/14),83% (5/6),3/4,33% (5/15),20% (1/5),2/4,1/2,1/1,1/1,0/0
2025 Riyadh Finals RR,W vs Anisimova,50% (4/8),100% (4/4),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,1/1,0/0
2025 Riyadh Finals RR,W vs Swiatek,55% (6/11),83% (5/6),0/1,18% (2/11),50% (1/2),5/5,2/2,1/1,1/1,0/0
2025 Riyadh Finals RR,W vs Alexandrova,30% (3/10),100% (3/3),0/1,40% (4/10),75% (3/4),2/3,2/3,0/0,1/2,0/0
2026 (15 matches),,49.7%,82.2%,47.4%,26.5%,47.5%,87.2%,78.9%,75.0%,70.0%,100.0%
2025 (43 matches),,45.0%,77.4%,35.8%,34.9%,41.9%,83.6%,74.0%,72.5%,75.0%,57.1%
2024 (32 matches),,50.9%,73.4%,38.2%,32.3%,34.8%,79.3%,79.5%,76.9%,82.4%,100.0%
2023 (37 matches),,46.7%,76.3%,45.5%,33.4%,40.4%,80.5%,85.4%,81.0%,85.7%,60.0%
2022 (19 matches),,39.7%,76.5%,21.6%,26.4%,29.1%,79.6%,78.9%,88.2%,80.0%,100.0%
Career (268 matches),,46.9%,79.1%,38.3%,35.6%,33.5%,75.8%,81.6%,73.8%,81.8%,75.3%
