Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W15 Netanya R32,L vs Dmitrichenko,40% (6/15),83% (5/6),2/8,60% (9/15),0% (0/9),2/5,1/2,0/0,0/0,0/0
2019 W15 Heraklion R16,L vs Dalakishvili,36% (4/11),100% (4/4),2/5,45% (5/11),0% (0/5),1/4,0/0,1/1,0/0,0/0
2019 W15 Heraklion R32,L vs Schultheiss,29% (2/7),0% (0/2),0/4,75% (6/8),17% (1/6),0/0,0/0,0/1,0/0,0/1
2019 W25 Sunderland R32,L vs Morderger,60% (6/10),50% (3/6),1/4,70% (7/10),29% (2/7),1/3,0/0,0/1,0/0,0/1
2019 W25 Bolton R32,L vs Allen,0% (0/6),- (0/0),0/6,100% (6/6),0% (0/6),0/0,0/0,0/0,0/0,0/0
2019 W15 Sharm El Sheikh R16,L vs Snigur,50% (5/10),60% (3/5),1/4,70% (7/10),29% (2/7),2/3,0/0,0/1,0/0,0/1
2019 W15 Sharm El Sheikh R32,W vs Martinich,62% (8/13),88% (7/8),3/4,36% (5/14),0% (0/5),5/7,2/2,0/1,1/1,0/0
2019 W15 Sharm El Sheikh R16,L vs Kajuru,30% (3/10),67% (2/3),1/5,60% (6/10),17% (1/6),1/2,0/1,0/0,0/0,0/0
2019 W15 Sharm El Sheikh R32,W vs Siskova,44% (4/9),100% (4/4),1/2,30% (3/10),33% (1/3),3/4,2/2,0/0,1/1,0/0
2019 W15 Sharm El Sheikh R32,L vs Arshinkova,57% (8/14),63% (5/8),2/8,79% (11/14),18% (2/11),1/5,0/1,0/1,0/0,0/1
2019 W15 Sharm El Sheikh R16,L vs Pribylova,44% (4/9),75% (3/4),2/5,67% (6/9),0% (0/6),2/3,0/0,0/1,0/0,0/0
2019 W15 Sharm El Sheikh R32,W vs Greiner,57% (8/14),63% (5/8),0/3,31% (4/13),25% (1/4),3/4,1/1,1/1,0/0,0/0
2017 Sharm El Sheikh $15K R16,L vs Clerici,38% (3/8),67% (2/3),0/6,88% (7/8),14% (1/7),0/2,0/0,0/0,0/0,0/0
2017 Sharm El Sheikh $15K R32,W vs Vasilescu,40% (4/10),75% (3/4),1/2,36% (4/11),50% (2/4),2/3,1/2,1/1,1/1,0/0
2017 Sharm El Sheikh $15K R32,L vs Burrage,50% (4/8),25% (1/4),1/4,71% (5/7),0% (0/5),0/1,0/0,0/1,0/0,0/0
2017 Sharm El Sheikh $15K R32,L vs Wachaczyk,36% (5/14),80% (4/5),1/4,36% (5/14),20% (1/5),2/3,0/0,2/2,0/0,1/1
2017 Sharm El Sheikh $15K R16,L vs Bronzetti,25% (2/8),100% (2/2),1/4,67% (6/9),0% (0/6),1/2,0/0,0/2,0/0,0/1
2017 Sharm El Sheikh $15K R32,W vs Denisenko,83% (5/6),100% (5/5),0/0,0% (0/7),- (0/0),4/4,1/1,0/0,1/1,0/0
2017 Sharm El Sheikh $15K QF,L vs Samir,38% (6/16),83% (5/6),2/5,47% (8/17),25% (2/8),4/5,1/2,0/1,0/1,0/1
2017 Sharm El Sheikh $15K R16,W vs Muntean,100% (6/6),100% (6/6),1/1,43% (3/7),67% (2/3),6/6,2/2,0/0,1/1,0/0
2019 (12 matches),,45.3%,70.7%,25.9%,57.7%,13.3%,52.5%,66.7%,25.0%,100.0%,0.0%
2017 (28 matches),,51.4%,82.2%,36.0%,58.1%,13.6%,58.9%,57.9%,37.5%,55.6%,30.8%
2016 (40 matches),,54.1%,80.8%,36.3%,51.6%,20.8%,63.3%,61.5%,36.4%,57.9%,33.3%
2015 (15 matches),,49.4%,81.8%,42.9%,51.2%,18.3%,57.1%,43.8%,43.8%,27.3%,62.5%
2014 (26 matches),,62.9%,87.0%,48.8%,46.4%,20.7%,72.1%,63.0%,45.5%,58.3%,0.0%
Career (138 matches),,53.9%,81.7%,38.4%,52.6%,18.3%,62.8%,62.1%,37.7%,58.7%,32.7%
