Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Miami R64,W vs Jones,44% (4/9),75% (3/4),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2026 Indian Wells SF,L vs Rybakina,27% (3/11),67% (2/3),0/4,55% (6/11),33% (2/6),1/2,0/0,2/2,0/0,2/2
2026 Indian Wells QF,W vs Swiatek,36% (5/14),100% (5/5),1/2,36% (5/14),40% (2/5),4/5,2/2,0/1,1/1,0/0
2026 Dubai F,L vs Pegula,22% (2/9),50% (1/2),1/4,78% (7/9),43% (3/7),0/1,0/0,2/2,0/0,1/1
2026 Australian Open SF,L vs Sabalenka,33% (3/9),33% (1/3),0/3,63% (5/8),20% (1/5),1/1,0/0,1/2,0/0,1/1
2026 Australian Open QF,W vs Gauff,88% (7/8),86% (6/7),1/1,14% (1/7),0% (0/1),3/4,0/0,0/0,0/0,0/0
2026 Australian Open R16,W vs Andreeva,56% (5/9),100% (5/5),1/2,56% (5/9),60% (3/5),2/3,0/0,0/0,0/0,0/0
2026 Australian Open R32,W vs Shnaider,50% (5/10),100% (5/5),3/4,36% (4/11),0% (0/4),1/5,1/1,2/2,1/1,0/0
2026 Australian Open R64,W vs Klimovicova,56% (5/9),80% (4/5),0/1,30% (3/10),67% (2/3),2/3,1/1,0/0,1/1,0/0
2026 Auckland F,W vs Wang,20% (2/10),50% (1/2),0/0,18% (2/11),100% (2/2),1/1,1/1,2/2,0/0,0/0
2026 Auckland SF,W vs Jovic,60% (6/10),83% (5/6),2/3,40% (4/10),25% (1/4),4/5,1/1,0/0,1/1,0/0
2025 US Open R128,L vs Bondar,44% (4/9),25% (1/4),0/4,44% (4/9),0% (0/4),1/1,0/0,2/2,0/0,2/2
2025 Montreal QF,L vs Osaka,13% (1/8),100% (1/1),1/3,63% (5/8),0% (0/5),0/1,0/0,0/2,0/0,0/1
2025 Montreal R16,W vs Anisimova,63% (5/8),80% (4/5),1/1,44% (4/9),75% (3/4),3/3,1/1,0/0,1/1,0/0
2025 Wimbledon R128,W vs Bondar,63% (5/8),80% (4/5),0/0,25% (2/8),100% (2/2),3/3,1/1,0/0,0/0,0/0
2025 Roland Garros QF,L vs Swiatek,30% (3/10),33% (1/3),0/4,44% (4/9),0% (0/4),0/1,0/0,0/0,0/0,0/0
2025 Roland Garros R16,W vs Paolini,50% (7/14),100% (7/7),3/5,67% (10/15),40% (4/10),4/7,1/1,2/3,1/1,2/2
2025 Madrid SF,L vs Sabalenka,36% (4/11),50% (2/4),0/4,40% (4/10),0% (0/4),0/2,0/0,1/1,0/0,1/1
2025 Madrid QF,W vs Uchijima,71% (5/7),100% (5/5),1/1,25% (2/8),50% (1/2),4/4,1/1,0/0,1/1,0/0
2025 Madrid R32,W vs Rybakina,33% (3/9),67% (2/3),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2026 (11 matches),,43.5%,80.9%,37.5%,39.4%,39.5%,66.7%,100.0%,81.8%,100.0%,100.0%
2025 (19 matches),,45.5%,76.1%,32.7%,42.8%,30.2%,71.9%,91.7%,61.5%,85.7%,75.0%
2024 (22 matches),,47.7%,68.7%,31.3%,40.3%,25.5%,66.7%,81.0%,73.9%,70.0%,62.5%
2023 (15 matches),,43.6%,86.1%,32.5%,36.6%,23.3%,72.2%,72.2%,50.0%,60.0%,50.0%
2022 (3 matches),,34.4%,90.9%,11.1%,56.3%,44.4%,62.5%,50.0%,66.7%,-,50.0%
Career (507 matches),,49.9%,78.4%,36.1%,42.7%,27.0%,69.3%,72.1%,62.3%,70.3%,60.8%
