Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Australian Open R16,L vs Rybakina,13% (1/8),0% (0/1),0/3,50% (4/8),0% (0/4),0/0,0/0,1/2,0/0,0/1
2025 Osaka R16,L vs Valentova,22% (2/9),50% (1/2),0/3,63% (5/8),20% (1/5),1/1,0/0,0/1,0/0,0/0
2025 s Hertogenbosch F,W vs Ruse,40% (4/10),75% (3/4),0/2,36% (4/11),50% (2/4),2/3,1/1,2/2,0/0,0/0
2025 s Hertogenbosch SF,W vs Alexandrova,27% (4/15),100% (4/4),2/4,53% (8/15),38% (3/8),2/3,0/0,2/3,0/0,2/2
2025 s Hertogenbosch R32,W vs Tomova,75% (6/8),100% (6/6),1/2,25% (2/8),0% (0/2),3/4,0/0,0/0,0/0,0/0
2025 Miami R32,L vs Swiatek,33% (3/9),67% (2/3),1/4,50% (5/10),0% (0/5),2/2,0/0,3/4,0/0,0/1
2025 Doha R16,L vs Alexandrova,11% (1/9),100% (1/1),1/2,44% (4/9),0% (0/4),1/1,0/0,0/2,0/0,0/1
2025 Singapore F,W vs Li,56% (5/9),100% (5/5),0/1,25% (2/8),50% (1/2),2/3,0/0,0/0,0/0,0/0
2025 Hobart F,L vs Kessler,33% (4/12),75% (3/4),1/5,54% (7/13),14% (1/7),2/3,1/1,1/2,0/0,0/1
2025 Hobart SF,W vs Joint,56% (5/9),100% (5/5),1/1,25% (2/8),50% (1/2),3/4,1/1,0/0,0/0,0/0
2024 US Open R16,L vs Sabalenka,44% (4/9),0% (0/4),0/3,56% (5/9),40% (2/5),0/0,0/0,1/1,0/0,1/1
2024 US Open R32,W vs Keys,47% (8/17),63% (5/8),3/3,29% (5/17),40% (2/5),4/5,2/2,1/1,1/1,1/1
2024 US Open R64,W vs Tomljanovic,50% (4/8),75% (3/4),0/0,22% (2/9),100% (2/2),3/3,2/2,0/0,1/1,0/0
2024 US Open R128,W vs Kudermetova,43% (6/14),83% (5/6),2/3,36% (5/14),20% (1/5),2/4,1/1,0/1,0/0,0/0
2024 Wimbledon R64,L vs Raducanu,25% (2/8),0% (0/2),0/4,71% (5/7),20% (1/5),0/0,0/0,2/2,0/0,1/1
2024 Wimbledon R128,W vs Hibino,38% (5/13),60% (3/5),0/1,15% (2/13),0% (0/2),3/3,2/2,0/1,1/1,0/0
2024 Roland Garros R32,L vs Rybakina,22% (2/9),100% (2/2),1/3,56% (5/9),0% (0/5),0/2,0/0,0/2,0/0,0/1
2024 Stuttgart R16,L vs Swiatek,30% (3/10),67% (2/3),2/4,56% (5/9),20% (1/5),2/2,0/0,2/2,0/0,1/1
2024 Charleston R16,W vs Svitolina,50% (4/8),100% (4/4),0/1,44% (4/9),75% (3/4),2/3,1/1,0/0,1/1,0/0
2024 Hobart F,L vs Navarro,47% (7/15),86% (6/7),5/8,64% (9/14),11% (1/9),3/5,0/0,0/0,0/0,0/0
2026 (1 matches),,12.5%,0.0%,0.0%,50.0%,0.0%,-,-,50.0%,-,0.0%
2025 (9 matches),,37.8%,88.2%,29.2%,43.3%,23.1%,75.0%,100.0%,57.1%,-,40.0%
2024 (10 matches),,40.5%,66.7%,43.3%,42.7%,27.7%,70.4%,100.0%,60.0%,100.0%,80.0%
2023 (16 matches),,49.7%,83.8%,39.1%,50.0%,31.2%,67.9%,63.6%,53.3%,50.0%,62.5%
2022 (10 matches),,48.4%,70.0%,31.0%,37.7%,26.1%,81.6%,76.9%,58.3%,100.0%,33.3%
Career (340 matches),,54.1%,79.7%,40.1%,44.7%,25.9%,70.2%,70.6%,61.4%,76.0%,60.7%
