Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
5,Priscilla Hon [AUS],3,2,60.0%,4,3,1,75.0%,2013,2022,1,1.05,1.3%,5.0%,63.7%,58.8%,58.6%,58.8%,43.2%,70.0%,57.1%
4,Alexandra Bozovic [AUS],4,0,100.0%,1,0,1,0.0%,2018,2022,0,,,,,,,,,,
4,Arina Rodionova [RUS],1,3,25.0%,3,3,0,100.0%,2014,2020,1,1.05,5.5%,5.5%,57.1%,59.6%,38.5%,50.5%,52.0%,45.5%,46.2%
4,Eri Hozumi [JPN],3,1,75.0%,1,1,0,100.0%,2017,2018,0,,,,,,,,,,
4,Olivia Rogowska [AUS],1,3,25.0%,1,0,1,0.0%,2013,2018,0,,,,,,,,,,
3,Ann Li [USA],0,3,0.0%,2,0,2,0.0%,2019,2023,2,0.89,2.1%,3.1%,59.4%,49.1%,53.8%,51.0%,43.4%,41.7%,33.3%
3,Astra Sharma [AUS],1,2,33.3%,1,1,0,100.0%,2018,2023,2,0.83,0.0%,4.7%,59.4%,61.8%,38.5%,52.3%,39.5%,50.0%,33.3%
3,Olivia Gadecki [AUS],1,2,33.3%,0,0,0,-,2021,2022,0,,,,,,,,,,
3,Chihiro Muramatsu [JPN],3,0,100.0%,1,0,1,0.0%,2018,2022,0,,,,,,,,,,
3,Marie Benoit [BEL],1,2,33.3%,0,0,0,-,2018,2021,1,0.86,4.7%,1.6%,59.4%,65.8%,53.8%,60.9%,33.8%,66.7%,0.0%
3,Mayo Hibi [JPN],1,2,33.3%,1,0,1,0.0%,2017,2021,1,1.31,6.0%,9.0%,51.0%,80.4%,49.0%,65.0%,45.9%,70.0%,40.0%
3,Abbie Myers [AUS],2,1,66.7%,1,1,0,100.0%,2013,2020,0,,,,,,,,,,
3,Asia Muhammad [USA],1,2,33.3%,1,0,1,0.0%,2017,2019,0,,,,,,,,,,
3,Sophie Chang [USA],2,1,66.7%,1,0,1,0.0%,2017,2019,0,,,,,,,,,,
3,Olivia Tjandramulia [AUS],3,0,100.0%,0,0,0,-,2018,2019,0,,,,,,,,,,
