Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Simona Waltert [SUI],2,5,28.6%,1,0,1,0.0%,2021,2025,4,0.85,6.0%,7.0%,63.9%,60.1%,33.9%,50.7%,42.0%,40.0%,33.3%
7,Clara Burel [FRA],1,6,14.3%,0,0,0,-,2020,2024,4,0.72,4.0%,8.0%,60.2%,53.9%,42.2%,49.3%,36.8%,57.4%,42.9%
5,Margaux Rouvroy [FRA],2,3,40.0%,1,1,0,100.0%,2023,2025,1,1.35,2.0%,5.9%,66.7%,70.6%,29.4%,56.9%,58.2%,20.0%,53.8%
4,Chloe Paquet [FRA],3,1,75.0%,1,1,0,100.0%,2024,2026,3,1.04,2.6%,9.9%,62.9%,62.3%,43.0%,55.2%,46.4%,56.7%,50.0%
4,Magdalena Frech [POL],1,3,25.0%,0,0,0,-,2020,2026,2,0.63,4.6%,12.0%,56.5%,55.7%,31.9%,45.4%,34.6%,41.2%,33.3%
4,Anhelina Kalinina [UKR],0,4,0.0%,1,1,0,100.0%,2021,2025,2,0.86,6.1%,6.1%,67.6%,57.9%,43.1%,53.1%,40.4%,40.0%,40.0%
4,Yue Yuan [CHN],3,1,75.0%,1,1,0,100.0%,2021,2025,1,1.08,2.2%,3.3%,67.4%,69.4%,23.3%,54.3%,49.5%,44.4%,50.0%
4,Olivia Gadecki [AUS],2,2,50.0%,0,0,0,-,2022,2025,3,0.96,3.9%,7.4%,63.5%,68.5%,33.3%,55.7%,42.5%,60.7%,34.6%
4,Harmony Tan [FRA],4,0,100.0%,1,1,0,100.0%,2022,2025,3,1.36,6.9%,2.7%,68.1%,77.3%,43.3%,66.5%,45.5%,58.3%,50.0%
4,Manon Leonard [FRA],1,3,25.0%,1,0,1,0.0%,2019,2025,2,1.35,11.2%,6.0%,57.8%,71.6%,53.1%,63.8%,48.8%,66.7%,43.8%
4,Erika Andreeva [RUS],2,2,50.0%,1,0,1,0.0%,2021,2024,3,1.08,3.6%,7.8%,62.7%,62.8%,41.7%,54.9%,48.7%,50.0%,50.0%
3,Veronika Erjavec [SLO],2,1,66.7%,0,0,0,-,2025,2026,3,1.05,3.7%,7.8%,58.7%,71.1%,41.1%,58.7%,43.4%,64.0%,50.0%
3,Victoria Jimenez Kasintseva [AND],1,2,33.3%,1,0,1,0.0%,2021,2025,2,0.79,3.8%,4.5%,60.6%,66.3%,36.5%,54.5%,36.0%,53.3%,33.3%
3,Solana Sierra [ARG],3,0,100.0%,1,1,0,100.0%,2024,2025,2,1.17,6.7%,8.1%,65.8%,72.4%,47.1%,63.8%,42.5%,61.5%,30.8%
3,Kathinka Von Deichmann [LIE],2,1,66.7%,0,0,0,-,2024,2025,1,1.33,11.8%,7.4%,51.5%,77.1%,51.5%,64.7%,46.8%,57.1%,54.5%
