Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Charleston,Clay,R64,143,53,Mccartney Kessler [USA] d. (LL) Kalieva,4-6 6-3 6-3,0.78,5.1%,6.4%,61.5%,62.5%,53.3%,1/5,2:00
30-Mar-2026,Charleston,Clay,Q2,143,273,Akasha Urhobo [USA] d. (6) Kalieva,6-1 6-1,0.38,1.7%,10.3%,60.3%,54.3%,26.1%,7/12,1:04
30-Mar-2026,Charleston,Clay,Q1,143,352,(6) Kalieva d. Madison Brengle [USA],6-2 6-0,2.82,16.2%,5.4%,67.6%,92.0%,50.0%,0/0,0:45
17-Mar-2026,Miami,Hard,R64,154,19,(21) Elise Mertens [BEL] d. (Q) Kalieva,6-2 6-0,0.44,0.0%,16.3%,46.9%,52.2%,34.6%,4/9,1:04
17-Mar-2026,Miami,Hard,R128,154,87,(Q) Kalieva d. (ALT) Dalma Galfi [HUN],6-3 6-7(5) 7-6(5),1.11,4.3%,3.6%,61.9%,70.9%,39.6%,15/19,3:17
17-Mar-2026,Miami,Hard,Q2,154,102,Kalieva d. (18) Diane Parry [FRA],6-4 6-0,1.63,8.5%,8.5%,61.7%,75.9%,55.6%,4/5,1:19
17-Mar-2026,Miami,Hard,Q1,154,,Kalieva d. (ALT) Marina Melnikova [RUS],6-4 6-2,1.80,5.5%,7.3%,45.5%,76.0%,66.7%,6/7,1:27
04-Mar-2026,Indian Wells,Hard,Q2,157,112,(16) Talia Gibson [AUS] d. Kalieva,4-6 7-5 6-3,1.08,7.1%,1.0%,52.0%,72.5%,48.9%,4/9,2:31
04-Mar-2026,Indian Wells,Hard,Q1,157,105,Kalieva d. (12) Yuliia Starodubtseva [UKR],6-3 6-1,1.52,9.1%,1.8%,60.0%,69.7%,59.1%,5/6,1:31
16-Feb-2026,Midland 125,Hard,QF,158,186,Hanyu Guo [CHN] d. (3) Kalieva,6-2 2-6 7-6(8),0.96,5.1%,5.1%,56.1%,70.9%,44.2%,4/8,2:22
16-Feb-2026,Midland 125,Hard,R16,158,323,(3) Kalieva d. (Q) Sakura Hosogi [JPN],6-2 6-2,2.09,10.3%,2.6%,66.7%,88.5%,38.5%,1/3,0:56
16-Feb-2026,Midland 125,Hard,R32,158,285,(3) Kalieva d. Anna Sinclair Rogers [USA],6-4 6-2,1.97,6.4%,4.3%,63.8%,83.3%,70.6%,0/0,1:01
19-Jan-2026,Australian Open,Hard,Q3,207,185,Guiomar Maristany Zuleta De Reales [ESP] d. Kalieva,7-5 4-6 6-4,0.95,6.1%,2.0%,57.1%,67.9%,47.6%,5/10,2:57
19-Jan-2026,Australian Open,Hard,Q2,207,225,Kalieva d. Ye Xin Ma [CHN],6-4 6-2,1.24,2.8%,1.4%,63.4%,71.1%,50.0%,2/3,1:29
19-Jan-2026,Australian Open,Hard,Q1,207,289,Kalieva d. Sijia Wei [CHN],4-6 6-2 3-2 RET,1.13,4.2%,0.0%,62.0%,63.6%,44.4%,1/5,2:06
05-Jan-2026,Canberra 125,Hard,R32,203,176,(Q) Ekaterine Gorgodze [GEO] d. (Q) Kalieva,6-2 6-7(2) 7-6(3),0.94,6.2%,3.9%,55.8%,63.9%,49.1%,8/13,2:44
05-Jan-2026,Canberra 125,Hard,Q2,203,658,(16) Kalieva d. Vera Zvonareva [RUS],5-7 6-2 6-2,1.23,3.2%,4.2%,47.4%,73.3%,46.0%,7/11,3:04
05-Jan-2026,Canberra 125,Hard,Q1,203,250,(16) Kalieva d. Nuria Parrizas Diaz [ESP],6-3 6-2,1.61,15.4%,5.8%,59.6%,80.6%,47.6%,3/4,1:18
01-Dec-2025,Quito 125,Clay,QF,206,672,Polona Hercog [SLO] d. Kalieva,6-3 6-1,0.42,0.0%,9.1%,54.5%,37.5%,35.0%,1/7,1:00
01-Dec-2025,Quito 125,Clay,R16,206,142,Kalieva d. (7) Varvara Lepchenko [USA],6-4 6-2,1.32,8.6%,6.9%,58.6%,64.7%,54.2%,3/5,1:30
01-Dec-2025,Quito 125,Clay,R32,206,204,Kalieva d. Miriam Bianca Bulgaru [ROU],6-3 6-3,1.52,12.9%,1.6%,69.4%,83.7%,36.8%,2/2,1:22
