Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Auckland R32,L vs Volynets,1.02,0.86,72.1,2.4,0.0%,62.3%,1.7%,51.7%,36.4%,36.5%
2024 Wuhan R16,L vs Paolini,0.72,0.43,30.3,2.1,4.2%,58.3%,4.8%,47.6%,20.0%,36.4%
2024 Wuhan R32,W vs Andreeva,1.10,1.46,47.3,3.0,11.8%,61.8%,0.0%,56.3%,53.6%,55.6%
2024 US Open R64,L vs Zheng,1.08,0.74,59.1,5.0,2.1%,58.3%,2.3%,48.8%,31.0%,32.4%
2024 US Open R128,W vs Yuan,1.05,1.18,53.3,2.1,7.1%,59.5%,11.9%,66.7%,43.6%,38.9%
2024 Monterrey QF,L vs Sun,0.89,0.45,42.6,2.4,6.7%,60.0%,10.3%,58.6%,23.1%,18.2%
2024 Wimbledon R64,L vs Vekic,0.88,0.54,41.1,2.4,2.4%,43.9%,0.0%,52.5%,20.0%,47.4%
2024 Wimbledon R128,W vs Bektas,1.14,1.18,72.0,2.8,8.2%,57.1%,4.3%,76.1%,30.8%,39.1%
2024 Roland Garros R128,L vs Sabalenka,0.91,0.52,39.6,2.1,5.0%,25.0%,5.3%,57.9%,37.0%,30.4%
2023 Palermo R16,L vs Osorio,1.05,0.86,64.9,5.2,1.9%,46.3%,0.0%,41.7%,37.5%,54.5%
2023 Roland Garros R128,L vs Navarro,0.97,0.78,58.4,11.7,2.3%,52.3%,0.0%,51.2%,35.7%,41.7%
2023 Miami R128,W vs Krueger,1.11,1.53,50.1,2.1,3.4%,62.1%,0.0%,65.4%,37.8%,62.9%
2022 US Open R128,L vs Kvitova,0.93,0.58,46.8,3.5,0.0%,54.8%,0.0%,50.0%,32.1%,26.9%
2025 (1 matches),,1.02,0.86,72.1,2.4,0.0%,62.3%,1.7%,51.7%,36.4%,36.5%
2024 (8 matches),,1.01,0.82,51.3,2.5,5.9%,54.5%,4.8%,59.2%,33.0%,37.5%
2023 (3 matches),,1.04,0.95,58.8,4.0,2.4%,52.0%,0.0%,50.4%,37.0%,53.0%
2022 (1 matches),,0.93,0.58,46.8,3.5,0.0%,54.8%,0.0%,50.0%,32.1%,26.9%
Career (13 matches),,1.01,0.85,55.5,2.8,3.9%,54.8%,3.0%,55.6%,34.4%,40.9%
