Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
5,Jacqueline Cabaj Awad [SWE],4,1,80.0%,0,0,0,-,2015,2024,0,,,,,,,,,,
4,Malene Helgo [NOR],1,3,25.0%,2,1,1,50.0%,2017,2023,0,,,,,,,,,,
3,Olga Helmi [DEN],2,1,66.7%,0,0,0,-,2019,2024,0,,,,,,,,,,
3,Sandra Samir [EGY],1,2,33.3%,2,1,1,50.0%,2015,2024,0,,,,,,,,,,
3,Carlota Martinez Cirez [ESP],0,3,0.0%,1,1,0,100.0%,2023,2023,0,,,,,,,,,,
3,Karola Patricia Bejenaru [ROU],2,1,66.7%,0,0,0,-,2019,2023,0,,,,,,,,,,
3,Rutuja Bhosale [IND],2,1,66.7%,1,1,0,100.0%,2017,2023,0,,,,,,,,,,
3,Kathinka Von Deichmann [LIE],0,3,0.0%,1,0,1,0.0%,2016,2023,0,,,,,,,,,,
3,Margaux Rouvroy [FRA],3,0,100.0%,0,0,0,-,2021,2023,0,,,,,,,,,,
3,Akvile Parazinskaite [LTU],2,1,66.7%,0,0,0,-,2021,2022,0,,,,,,,,,,
3,Emily Seibold [GER],1,2,33.3%,0,0,0,-,2017,2021,0,,,,,,,,,,
3,Elena Malygina [EST],2,1,66.7%,1,1,0,100.0%,2019,2021,0,,,,,,,,,,
3,Anette Munozova [SWE],3,0,100.0%,0,0,0,-,2014,2019,0,,,,,,,,,,
3,Julia Lovqvist [SWE],3,0,100.0%,1,1,0,100.0%,2019,2019,0,,,,,,,,,,
3,Julia Rosenquist [SWE],2,1,66.7%,0,0,0,-,2014,2019,0,,,,,,,,,,
