Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W15 Oldenzaal QF,L vs Vedder,45% (5/11),60% (3/5),0/5,64% (7/11),0% (0/7),1/3,1/2,0/1,0/0,0/0
2019 W15 Oldenzaal Q2,W vs Villet,78% (7/9),100% (7/7),3/3,50% (4/8),25% (1/4),4/6,1/2,0/0,0/1,0/0
2019 W25 Cordenons Q2,W vs Bertoloni,55% (6/11),83% (5/6),1/1,27% (3/11),67% (2/3),4/4,1/1,0/0,1/1,0/0
2019 W15 Tabarka R16,W vs Peral,55% (6/11),100% (6/6),1/4,45% (5/11),20% (1/5),3/6,2/2,1/1,1/1,0/0
2019 W15 Tabarka R32,W vs Lantigua De La Nuez,64% (7/11),71% (5/7),0/1,30% (3/10),67% (2/3),2/3,0/0,0/0,0/0,0/0
2019 W15 Tabarka SF,W vs Lancelot,67% (6/9),100% (6/6),1/2,33% (3/9),33% (1/3),4/6,2/2,1/1,1/1,0/0
2019 W15 Tabarka QF,W vs Amendola,78% (7/9),100% (7/7),3/5,50% (6/12),0% (0/6),1/7,2/4,0/0,1/2,0/0
2019 W15 Tabarka R16,W vs Wolff,64% (9/14),78% (7/9),1/4,38% (5/13),0% (0/5),3/6,1/1,0/1,0/0,0/0
2019 W15 Barletta R16,W vs Ochsner,50% (5/10),100% (5/5),1/2,22% (2/9),0% (0/2),4/4,1/1,0/0,0/0,0/0
2019 W15 Antalya R32,L vs Ganz,38% (3/8),33% (1/3),1/4,75% (6/8),17% (1/6),0/1,0/0,0/1,0/0,0/1
2019 W15 Antalya R32,L vs Sonmez,13% (1/8),100% (1/1),1/4,78% (7/9),29% (2/7),0/1,0/0,1/2,0/0,0/1
2017 Agadir $15K R16,W vs Rassif,100% (7/7),86% (6/7),0/0,17% (1/6),100% (1/1),4/4,0/0,0/0,0/0,0/0
2017 Agadir $15K R32,W vs Esteve Mendez,100% (7/7),86% (6/7),2/2,25% (2/8),0% (0/2),4/5,1/1,0/0,1/1,0/0
2017 Beni Mellal $15K F,L vs Kan,40% (6/15),50% (3/6),0/6,62% (8/13),25% (2/8),1/3,0/0,2/2,0/0,1/1
2017 Beni Mellal $15K SF,W vs Adamescu,86% (12/14),100% (12/12),7/9,71% (10/14),10% (1/10),4/10,0/1,0/0,0/0,0/0
2017 Beni Mellal $15K QF,W vs Simion,67% (6/9),100% (6/6),2/3,33% (3/9),0% (0/3),2/4,0/0,0/0,0/0,0/0
2017 Beni Mellal $15K R32,W vs Parres Azcoitia,63% (5/8),100% (5/5),1/2,22% (2/9),0% (0/2),4/5,2/2,0/0,1/1,0/0
2017 RibaRoja de Turia $15K R16,L vs Masarova,25% (2/8),50% (1/2),0/3,75% (6/8),17% (1/6),1/1,0/0,0/2,0/0,0/1
2017 RibaRoja de Turia $15K R32,W vs Fita Boluda,67% (6/9),100% (6/6),1/2,50% (4/8),50% (2/4),4/5,1/1,0/0,0/0,0/0
2017 Hammamet $15K SF,L vs Shinikova,22% (2/9),100% (2/2),1/4,78% (7/9),29% (2/7),1/2,0/0,1/2,0/0,0/1
2019 (11 matches),,55.9%,85.5%,37.1%,45.9%,19.6%,55.3%,73.3%,42.9%,66.7%,0.0%
2017 (29 matches),,58.6%,83.2%,49.6%,58.0%,22.9%,59.5%,78.6%,53.8%,85.7%,30.0%
2016 (25 matches),,56.1%,80.4%,41.3%,59.2%,17.2%,63.3%,57.1%,38.1%,60.0%,0.0%
2015 (19 matches),,55.7%,79.6%,32.9%,58.0%,18.6%,56.7%,50.0%,40.9%,42.9%,45.5%
2014 (2 matches),,52.4%,45.5%,25.0%,57.9%,9.1%,40.0%,100.0%,33.3%,-,100.0%
Career (93 matches),,56.7%,81.6%,41.1%,56.8%,19.0%,58.9%,68.0%,46.4%,68.9%,29.0%
