Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
09-Jun-2025,W50 Guimaraes,Hard,F,238,264,Jorge d. Matilde Jorge [POR],5-7 6-2 6-2,1.15,1.8%,4.6%,59.6%,66.2%,50.0%,9/12,2:28
02-Jun-2025,W50 Montemor-o-Novo,Hard,F,259,292,Matilde Jorge [POR] d. Jorge,6-1 6-3,0.48,1.9%,1.9%,57.7%,53.3%,40.9%,6/10,1:21
10-Jun-2024,W75 Guimaraes,Hard,F,208,286,(2) Jorge d. Liv Hovde [USA],6-3 6-4,,,,,,,,
11-Dec-2023,W60 Vacaria,Clay,F,271,287,(7) Selena Janicijevic [FRA] d. (6) Jorge,3-6 6-3 6-2,,,,,,,,
04-Dec-2023,W25 Mogi das Cruzes,Clay,F,266,259,(2) Jorge d. (1) Justina Mikulskyte [LTU],6-1 6-1,,,,,,,,
24-Apr-2023,W60 Oeiras,Clay,F,314,184,(5) Nigina Abduraimova [UZB] d. Jorge,1-6 6-4 6-3,,,,,,,,
20-Jun-2022,W25 Cantanhede,Carpet,F,367,115,(6) Jorge d. (1) Vitalia Diatchenko [RUS],7-5 7-5,,,,,,,,
12-Oct-2020,W15 Funchal,Hard,F,474,378,(3) Beatriz Haddad Maia [BRA] d. Jorge,6-3 6-3,,,,,,,,
28-Sep-2020,W25 Porto,Hard,F,591,228,Georgina Garcia Perez [ESP] d. (WC) Jorge,1-6 6-4 6-3,,,,,,,,
21-Oct-2019,W15 Lousada,Hard,F,525,803,Jorge d. Carole Monnet [FRA],4-6 7-6(6) 6-4,,,,,,,,
