Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,5,2,3,40.0%,0,0,0,-,2015,2018,Q2,2,1.01,4.9%,4.9%,72.7%,68.3%,38.5%,60.1%,40.3%,56.3%,53.8%
Roland Garros,2,Clay,6,4,2,66.7%,0,0,0,-,2017,2018,R64,2,0.80,3.7%,2.8%,70.4%,53.9%,46.9%,51.9%,38.7%,46.7%,44.4%
Wimbledon,2,Grass,6,4,2,66.7%,1,0,1,0.0%,2017,2018,R64,2,1.01,6.3%,4.4%,65.4%,55.8%,52.7%,54.7%,45.8%,60.0%,44.0%
US Open,5,Hard,14,9,5,64.3%,3,3,0,100.0%,2014,2019,R128,8,1.12,4.1%,4.9%,60.6%,65.3%,48.0%,58.5%,46.4%,66.7%,53.7%
Fed Cup,4,,10,6,4,60.0%,1,1,0,100.0%,2015,2019,,7,1.06,4.1%,3.4%,69.1%,62.0%,43.4%,56.2%,46.4%,50.9%,54.0%
Montreal,5,Hard,9,4,5,44.4%,3,0,3,0.0%,2012,2021,R32,9,0.96,3.3%,5.0%,60.7%,60.1%,37.9%,51.3%,46.8%,61.3%,50.7%
Quebec City,7,Hard,11,4,7,36.4%,3,1,2,33.3%,2012,2018,QF,9,0.98,3.5%,2.9%,67.9%,65.1%,45.9%,58.9%,40.3%,56.9%,46.7%
Charleston,2,Clay,2,0,2,0.0%,0,0,0,-,2015,2018,Q1,1,0.79,0.0%,4.8%,71.4%,55.6%,22.2%,46.0%,42.9%,33.3%,27.3%
Miami,4,Hard,7,3,4,42.9%,2,1,1,50.0%,2014,2018,R128,7,0.98,4.4%,4.1%,57.1%,64.0%,45.5%,56.0%,43.2%,53.0%,46.6%
Indian Wells,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2017,2018,Q1,2,0.86,3.0%,5.2%,57.8%,48.7%,36.8%,43.7%,48.6%,53.6%,52.9%
Toronto,2,Hard,2,0,2,0.0%,0,0,0,-,2015,2017,R64,2,0.93,1.3%,3.8%,66.5%,61.9%,49.1%,57.6%,39.4%,55.0%,23.1%
