Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
22-Jul-2024,W15 Brezice,Clay,F,523,430,(3) Ce d. (1) Iva Primorac [CRO],6-4 6-4,,,,,,,,
06-May-2024,W15 Nova Gorica,Clay,F,436,482,(1) Ce d. (2) Veronika Podrez [UKR],7-6(4) 7-5,,,,,,,,
24-Oct-2022,W25 Ibague (MOVED from 10 Oct),Clay,F,286,461,Maria Fernanda Herazo Gonzalez [COL] d. (4) Ce,6-3 6-3,,,,,,,,
01-Aug-2022,W25 Rio de Janeiro,Clay,F,322,,(1) Ce d. (5) Noelia Zeballos Melgar [BOL],4-6 7-5 6-3,,,,,,,,
29-Nov-2021,W15 Curitiba,Clay,F,289,439,(1) Ce d. (2) Thaisa Grana Pedretti [BRA],3-0 RET,,,,,,,,
12-Jul-2021,W25 Tarvisio,Clay,F,250,510,Cristina Dinu [ROU] d. (1) Ce,6-2 6-0,,,,,,,,
21-Jun-2021,W60 Charleston SC,Clay,F,284,261,(2) Despina Papamichail [GRE] d. (6) Ce,1-6 6-3 6-3,,,,,,,,
10-May-2021,W15 Antalya,Clay,F,262,590,Cristina Dinu [ROU] d. (1) Ce,6-3 6-0,,,,,,,,
06-May-2019,W25 Rome,Clay,F,442,290,Daniela Seguel [CHI] d. (SE) Ce,6-1 7-5,,,,,,,,
29-Apr-2019,W25 Santa Margherita Di Pula,Clay,F,442,469,Mirjam Bjorklund [SWE] d. (Q) Ce,6-3 7-6(3),,,,,,,,
