Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2017,4,2,2,50.0%,4-5,44.4%,42-38,52.5%,0-0,-,0,,,,,,,,,,,,QF (Yokohama $25K)
2016,19,12,7,63.2%,27-18,60.0%,230-204,53.0%,3-3,50.0%,1,30.0%,33.3%,0.0%,5.5%,56.4%,51.6%,12.5%,34.5%,41.2%,37.7%,0.63,F (2x)
2011,18,12,6,66.7%,26-16,61.9%,219-166,56.9%,1-5,16.7%,0,,,,,,,,,,,,W (Casablanca 25K)
2010,5,2,3,40.0%,6-6,50.0%,57-54,51.4%,1-0,100.0%,0,,,,,,,,,,,,R16 (2x)
2009,3,1,2,33.3%,2-5,28.6%,29-38,43.3%,1-0,100.0%,0,,,,,,,,,,,,R16 (Bronx NY [Main Draw only] 100K)
2008,9,5,4,55.6%,10-10,50.0%,99-90,52.4%,1-2,33.3%,0,,,,,,,,,,,,QF (2x)
2007,17,11,6,64.7%,23-17,57.5%,194-177,52.3%,2-2,50.0%,0,,,,,,,,,,,,SF (2x)
2006,17,10,7,58.8%,22-15,59.5%,196-152,56.3%,0-4,0.0%,0,,,,,,,,,,,,W (Cuneo 50K)
2005,17,10,7,58.8%,24-16,60.0%,209-185,53.0%,6-3,66.7%,0,,,,,,,,,,,,F (Pittsburgh PA 75K)
2004,22,11,11,50.0%,24-25,49.0%,219-226,49.2%,1-3,25.0%,0,,,,,,,,,,,,QF (4x)
2003,49,33,16,67.3%,73-42,63.5%,588-467,55.7%,7-6,53.8%,0,,,,,,,,,,,,W (Mont De Marsan 25K)
2002,13,6,7,46.2%,14-16,46.7%,146-143,50.5%,3-2,60.0%,0,,,,,,,,,,,,QF (Al Mansoura 10K)
2001,24,15,9,62.5%,32-18,64.0%,250-192,56.6%,0-3,0.0%,0,,,,,,,,,,,,SF (2x)
Career,217,130,87,59.9%,287-209,57.9%,2478-2132,53.8%,26-33,44.1%,1,30.0%,33.3%,0.0%,5.5%,56.4%,51.6%,12.5%,34.5%,41.2%,37.7%,0.63,
