Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2022 US Open R32,L vs Kvitova,97.8,102.3,4.4,103.9,98.5,110,93,87.0,3.2,87.3,88.5,91,78
2022 US Open R64,W vs Fruhvirtova,97.0,103.1,5.1,104.5,100.6,111,93,85.7,3.2,89.0,,93,79
2022 US Open R128,W vs Tauson,89.2,93.5,8.8,95.7,88.0,107,64,81.0,6.3,82.7,79.0,91,67
2022 Wimbledon R128,L vs Minnen,93.0,98.8,5.1,102.1,96.0,105,83,84.4,3.1,87.0,,90,78
2021 US Open R16,L vs Krejcikova,94.6,98.9,5.2,99.7,96.1,108,89,82.4,3.2,81.8,79.5,87,74
2021 US Open R32,W vs Azarenka,95.0,99.1,4.7,99.0,97.5,108,88,85.5,1.8,84.3,84.7,89,83
2021 US Open R64,W vs Petkovic,93.4,97.8,3.9,99.1,95.7,105,90,79.9,2.5,79.8,81.0,85,75
2021 US Open R128,W vs Vekic,95.0,101.0,5.9,103.2,95.7,110,76,84.8,3.1,86.7,86.0,90,78
2021 Wimbledon R32,L vs Jabeur,94.8,100.3,5.2,102.4,97.6,111,88,84.7,3.9,84.7,84.8,94,77
2021 Wimbledon R64,W vs Pattinama Kerkhove,93.7,98.9,5.8,99.4,97.6,107,84,85.1,5.1,83.0,85.3,92,69
2021 Wimbledon R128,W vs Ferro,93.8,99.6,4.8,100.5,96.5,108,88,85.5,3.6,90.0,,91,80
2019 US Open R128,L vs Riske Amritraj,91.3,98.4,5.5,100.0,94.1,106,85,81.4,4.4,81.7,80.7,90,72
2019 Wimbledon R128,L vs Haddad Maia,95.1,98.3,4.4,100.2,94.6,104,89,87.3,2.5,88.0,83.0,90,81
2019 Roland Garros R16,L vs Stephens,92.8,99.0,3.9,,,106,91,83.5,3.9,,,90,76
2019 Roland Garros R32,W vs Svitolina,93.7,100.6,2.9,,,106,95,83.9,2.8,,,91,80
2019 Roland Garros R64,W vs Larsson,92.1,98.2,4.1,,,106,91,82.7,2.4,,,87,78
2019 Roland Garros R128,W vs Townsend,92.9,95.8,5.1,,,104,78,83.4,3.7,,,92,75
2018 US Open R64,L vs Muchova,91.6,97.5,4.8,100.3,96.3,107,83,82.5,3.9,84.2,84.0,90,74
2018 US Open R128,W vs Zhang,92.4,98.7,4.5,99.0,98.4,105,84,83.8,3.7,85.0,80.4,92,75
2018 Wimbledon R64,L vs Van Uytvanck,95.3,100.5,4.3,101.1,97.3,108,90,86.6,3.7,91.3,87.0,94,79
Career (65 matches),,94.7,100.1,4.8,101.5,96.6,113,64,85.4,3.6,86.7,84.3,103,63
