Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Auckland R16,L vs Parks,20% (2/10),50% (1/2),1/3,45% (5/11),20% (1/5),1/1,0/0,0/1,0/0,0/1
2024 Osaka R32,W vs Andreescu,57% (4/7),100% (4/4),0/0,50% (4/8),100% (4/4),4/4,2/2,0/0,1/1,0/0
2024 US Open R64,L vs Vekic,11% (1/9),0% (0/1),0/3,40% (4/10),0% (0/4),0/0,0/0,0/1,0/0,0/1
2024 US Open R128,W vs Frech,42% (5/12),100% (5/5),0/3,42% (5/12),40% (2/5),2/3,0/0,0/0,0/0,0/0
2024 Wimbledon R64,L vs Paolini,40% (4/10),100% (4/4),2/6,60% (6/10),0% (0/6),1/4,0/0,2/2,0/0,0/0
2024 Wimbledon R128,W vs Watson,55% (6/11),83% (5/6),2/3,45% (5/11),40% (2/5),2/3,0/0,0/0,0/0,0/0
2023 US Open R32,L vs Kasatkina,20% (2/10),50% (1/2),0/3,67% (6/9),50% (3/6),1/1,0/0,2/2,0/0,2/2
2023 US Open R64,W vs Vickery,57% (8/14),63% (5/8),1/3,47% (7/15),43% (3/7),2/5,2/2,1/2,1/1,0/0
2023 US Open R128,W vs Williams,71% (5/7),100% (5/5),0/0,43% (3/7),100% (3/3),4/4,1/1,0/0,1/1,0/0
2023 Wimbledon R128,L vs Ostapenko,38% (3/8),33% (1/3),1/5,86% (6/7),17% (1/6),0/1,0/0,0/0,0/0,0/0
2022 US Open R128,L vs Stephens,50% (6/12),67% (4/6),0/4,62% (8/13),38% (3/8),3/4,1/1,1/2,0/0,1/2
2022 Wimbledon R64,L vs Zheng,25% (2/8),50% (1/2),1/4,56% (5/9),0% (0/5),1/1,0/0,1/2,0/0,0/1
2022 Wimbledon R128,W vs Muguruza,63% (5/8),100% (5/5),1/1,25% (2/8),50% (1/2),3/3,0/1,0/0,0/0,0/0
2021 BJK Cup Finals RR: BLR vs BEL RR,W vs Shymanovich,75% (6/8),67% (4/6),0/0,25% (2/8),100% (2/2),4/4,2/2,0/0,1/1,0/0
2021 US Open R32,L vs Andreescu,25% (2/8),0% (0/2),0/4,71% (5/7),20% (1/5),0/0,0/0,1/1,0/0,1/1
2021 US Open R64,W vs Samsonova,50% (5/10),60% (3/5),1/1,30% (3/10),67% (2/3),3/3,2/2,0/0,1/1,0/0
2021 US Open R128,W vs Podoroska,54% (7/13),43% (3/7),1/3,46% (6/13),50% (3/6),3/3,2/2,0/0,1/1,0/0
2021 Wimbledon R128,L vs Tomljanovic,30% (3/10),67% (2/3),1/3,50% (5/10),20% (1/5),1/2,0/0,2/3,0/0,2/2
2021 Roland Garros R128,L vs Kvitova,25% (4/16),75% (3/4),2/5,40% (6/15),17% (1/6),2/3,0/1,2/2,0/0,1/1
2021 Lyon R16,W vs Rus,50% (7/14),100% (7/7),1/3,46% (6/13),33% (2/6),4/6,1/1,0/1,0/0,0/0
2025 (1 matches),,20.0%,50.0%,33.3%,45.5%,20.0%,100.0%,-,0.0%,-,0.0%
2024 (5 matches),,40.8%,90.0%,26.7%,47.1%,33.3%,64.3%,100.0%,66.7%,100.0%,0.0%
2023 (4 matches),,46.2%,66.7%,18.2%,57.9%,45.5%,63.6%,100.0%,75.0%,100.0%,100.0%
2022 (3 matches),,46.4%,76.9%,22.2%,50.0%,26.7%,87.5%,50.0%,50.0%,-,33.3%
2021 (8 matches),,42.7%,63.2%,30.4%,44.7%,34.2%,82.6%,87.5%,75.0%,100.0%,100.0%
Career (94 matches),,48.0%,75.4%,33.8%,46.7%,28.3%,70.2%,76.5%,60.5%,81.5%,61.8%
