Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Charleston,Clay,R32,33,85,Renata Zarazua [MEX] d. (15) Baptiste,3-6 6-3 6-4,1.00,6.7%,4.5%,52.8%,57.4%,52.4%,11/17,2:47
17-Mar-2026,Miami,Hard,QF,45,1,(1) Aryna Sabalenka [BLR] d. Baptiste,6-4 6-4,0.81,10.9%,9.1%,49.1%,81.5%,42.9%,1/4,1:20
17-Mar-2026,Miami,Hard,R16,45,24,Baptiste d. (25) Jelena Ostapenko [LAT],6-3 6-4,1.30,15.9%,2.9%,59.4%,68.3%,64.3%,9/10,1:23
17-Mar-2026,Miami,Hard,R32,45,8,Baptiste d. (9) Elina Svitolina [UKR],6-3 7-5,1.26,3.8%,5.1%,51.3%,72.5%,44.7%,6/9,1:38
17-Mar-2026,Miami,Hard,R64,45,22,Baptiste d. (19) Liudmila Samsonova [RUS],6-3 7-5,1.21,7.5%,3.8%,46.3%,62.2%,48.8%,3/7,2:04
17-Mar-2026,Miami,Hard,R128,45,59,Baptiste d. Tatjana Maria [GER],7-5 6-2,1.72,8.0%,8.0%,54.0%,85.2%,52.2%,0/2,1:18
04-Mar-2026,Indian Wells,Hard,R64,43,3,(3) Elena Rybakina [KAZ] d. Baptiste,7-6(5) 2-6 6-2,0.97,6.6%,4.4%,64.8%,61.0%,59.4%,2/5,2:16
04-Mar-2026,Indian Wells,Hard,R128,43,108,Baptiste d. Emiliana Arango [COL],2-6 6-2 6-3,1.24,0.0%,4.7%,52.9%,71.1%,55.0%,3/6,2:07
15-Feb-2026,Dubai,Hard,R64,45,47,Alexandra Eala [PHI] d. (LL) Baptiste,6-4 0-1 RET,0.83,4.0%,6.0%,52.0%,65.4%,45.8%,5/7,0:57
15-Feb-2026,Dubai,Hard,Q2,45,103,Rebecca Sramkova [SVK] d. (1) Baptiste,6-3 7-5,0.97,12.9%,6.5%,51.6%,75.0%,43.3%,2/6,1:34
15-Feb-2026,Dubai,Hard,Q1,45,85,(1) Baptiste d. Shuai Zhang [CHN],6-4 6-4,1.11,13.7%,6.8%,67.1%,77.6%,20.8%,2/4,1:25
01-Feb-2026,Abu Dhabi,Hard,SF,56,11,(2) Ekaterina Alexandrova [RUS] d. (WC) Baptiste,3-6 7-6(5) 6-3,0.96,2.7%,4.5%,66.4%,67.1%,48.6%,7/10,2:29
01-Feb-2026,Abu Dhabi,Hard,QF,56,18,(WC) Baptiste d. (5) Liudmila Samsonova [RUS],6-2 4-6 6-4,1.24,4.5%,4.5%,48.9%,55.8%,62.2%,5/10,2:17
01-Feb-2026,Abu Dhabi,Hard,R16,56,17,(WC) Baptiste d. (4) Emma Navarro [USA],7-6(6) 0-6 6-3,0.82,7.6%,4.3%,60.9%,64.3%,44.4%,5/9,2:06
01-Feb-2026,Abu Dhabi,Hard,R32,56,171,(WC) Baptiste d. (WC) Teodora Kostovic [SRB],4-6 6-3 6-4,1.10,3.4%,2.3%,65.9%,69.0%,43.3%,1/5,2:20
19-Jan-2026,Australian Open,Hard,R32,70,3,(3) Coco Gauff [USA] d. Baptiste,3-6 6-0 6-3,0.64,2.2%,2.2%,59.1%,60.0%,44.7%,5/10,1:50
19-Jan-2026,Australian Open,Hard,R64,70,367,Baptiste d. (Q) Storm Hunter [AUS],6-2 6-1,1.78,4.5%,4.5%,63.6%,75.0%,56.3%,2/3,1:03
19-Jan-2026,Australian Open,Hard,R128,70,116,Baptiste d. (LL) Taylor Townsend [USA],6-3 6-7(3) 6-3,1.08,7.3%,3.2%,58.9%,75.3%,49.0%,9/10,2:38
12-Jan-2026,Hobart,Hard,R32,66,84,(Q) Renata Zarazua [MEX] d. Baptiste,6-7(5) 6-3 6-3,0.82,1.0%,3.8%,63.8%,59.7%,50.0%,2/8,2:51
04-Jan-2026,Brisbane,Hard,R64,65,74,(LL) Yulia Putintseva [KAZ] d. Baptiste,6-2 6-4,0.79,5.6%,3.7%,66.7%,55.6%,55.6%,4/8,1:22
