Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
1987 Australian Open F,W vs Navratilova,58% (7/12),86% (6/7),1/5,58% (7/12),29% (2/7),3/5,0/1,0/0,0/1,0/0
1986 Wimbledon F,L vs Navratilova,27% (3/11),33% (1/3),0/2,20% (2/10),0% (0/2),1/1,0/1,1/1,0/0,1/1
1986 Wimbledon SF,W vs Evert,58% (7/12),71% (5/7),1/4,42% (5/12),20% (1/5),4/5,1/1,2/2,1/1,0/0
1982 US Open F,L vs Evert,38% (3/8),0% (0/3),0/3,50% (4/8),0% (0/4),0/0,0/0,0/1,0/0,0/0
1982 Roland Garros SF,L vs Navratilova,29% (2/7),0% (0/2),0/3,71% (5/7),0% (0/5),0/0,0/0,0/2,0/0,0/1
1981 Wimbledon F,L vs Evert,38% (3/8),33% (1/3),1/5,88% (7/8),29% (2/7),0/1,0/0,1/1,0/0,0/0
1981 Roland Garros F,W vs Hanika,78% (7/9),86% (6/7),0/3,67% (6/9),50% (3/6),4/4,0/0,0/0,0/0,0/0
1980 US Open F,L vs Evert,23% (3/13),67% (2/3),0/5,62% (8/13),25% (2/8),1/1,0/0,0/1,0/0,0/0
1980 Wimbledon R16,L vs Goolagong,29% (4/14),75% (3/4),0/6,57% (8/14),13% (1/8),1/3,0/0,4/5,0/0,1/1
1987 (1 matches),,58.3%,85.7%,20.0%,58.3%,28.6%,60.0%,0.0%,-,0.0%,-
1986 (2 matches),,43.5%,60.0%,16.7%,31.8%,14.3%,83.3%,50.0%,100.0%,100.0%,100.0%
1982 (2 matches),,33.3%,0.0%,0.0%,60.0%,0.0%,-,-,0.0%,-,0.0%
1981 (2 matches),,58.8%,70.0%,12.5%,76.5%,38.5%,80.0%,-,100.0%,-,-
1980 (2 matches),,25.9%,71.4%,0.0%,59.3%,18.8%,50.0%,-,66.7%,-,100.0%
Career (9 matches),,41.5%,61.5%,8.3%,55.9%,21.2%,70.0%,33.3%,61.5%,50.0%,66.7%
