Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
25-Oct-1987,Zurich,Carpet,F,4,1,(1) Steffi Graf [GER] d. (2) Mandlikova,6-2 6-2,,,,,,,,
12-Jan-1987,Australian Open,Grass,F,4,1,(2) Mandlikova d. (1) Martina Navratilova [USA],7-5 7-6(1),,,,,,,,
10-Nov-1986,Chicago,Carpet,F,4,1,(1) Martina Navratilova [USA] d. (2) Mandlikova,7-5 7-5,,,,,,,,
23-Jun-1986,Wimbledon,Grass,F,4,1,(1) Martina Navratilova [USA] d. (3) Mandlikova,7-6 6-3,,,,,,,,
27-Aug-1985,US Open,Hard,F,,,(3) Mandlikova d. (2) Martina Navratilova [USA],7-6(3) 1-6 7-6(2),,,,,,,,
31-Aug-1982,US Open,Hard,F,,,(2) Chris Evert [USA] d. (5) Mandlikova,6-3 6-1,,,,,,,,
22-Jun-1981,Wimbledon,Grass,F,,,(1) Chris Evert [USA] d. (2) Mandlikova,6-2 6-2,,,,,,,,
25-May-1981,Roland Garros,Clay,F,,,(4) Mandlikova d. (6) Sylvia Hanika [GER],6-2 6-4,,,,,,,,
24-Nov-1980,Australian Open,Grass,F,,,(3) Mandlikova d. (4) Wendy Turnbull [AUS],6-0 7-5,,,,,,,,
26-Aug-1980,US Open,Hard,F,,,(3) Chris Evert [USA] d. (9) Mandlikova,5-7 6-1 6-1,,,,,,,,
05-Feb-1979,Montreal Futures,Carpet,F,,,Mandlikova d. Leslie Allen [USA],7-6 6-2,,,,,,,,
