Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
23-Feb-2026,W35 Arcadia CA,Hard,QF,344,1022,Thea Frodin [USA] d. Chang,6-4 6-1,0.63,2.4%,11.9%,50.0%,57.1%,42.9%,1/5,1:19
23-Feb-2026,W35 Arcadia CA,Hard,R16,344,662,Chang d. Kylie Collins [USA],3-6 6-3 7-5,1.06,3.1%,5.2%,52.6%,66.7%,43.5%,4/10,3:17
23-Feb-2026,W35 Arcadia CA,Hard,R32,344,615,Chang d. Amy Zhu [USA],6-3 6-3,1.53,3.8%,9.6%,40.4%,90.5%,51.6%,0/1,1:33
16-Feb-2026,Midland 125,Hard,R32,342,185,(8) Mary Stoiana [USA] d. Chang,3-6 7-6(9) 6-2,0.94,5.7%,5.7%,52.5%,64.1%,43.1%,7/13,2:45
02-Feb-2026,W50 Orlando FL,Hard,R16,345,200,Kayla Cross [CAN] d. Chang,4-6 6-3 7-6(4),0.93,2.0%,7.9%,62.4%,55.6%,52.6%,5/11,2:43
02-Feb-2026,W50 Orlando FL,Hard,R32,345,304,Chang d. Akasha Urhobo [USA],6-3 3-6 6-4,1.09,1.3%,3.8%,58.2%,58.7%,54.5%,1/6,2:18
19-Jan-2026,W35 Weston FL,Clay,R16,324,337,Akasha Urhobo [USA] d. Chang,4-6 6-3 6-2,0.85,1.1%,5.7%,53.4%,59.6%,46.3%,5/11,2:36
19-Jan-2026,W35 Weston FL,Clay,R32,324,1094,Chang d. Kolie Allen [USA],6-1 6-3,1.87,7.3%,7.3%,63.4%,73.1%,60.0%,0/2,1:19
24-Nov-2025,W50 Yokohama,Hard,QF,329,688,Jana Kolodynska [BLR] d. Chang,7-6(5) 2-6 7-6(6),1.08,1.8%,5.4%,55.0%,62.3%,50.0%,7/11,2:59
24-Nov-2025,W50 Yokohama,Hard,R16,329,308,Chang d. Rina Saigo [JPN],6-4 3-6 6-4,0.97,5.3%,8.5%,43.6%,65.9%,47.2%,4/9,2:30
24-Nov-2025,W50 Yokohama,Hard,R32,329,497,Chang d. Yufei Ren [CHN],6-1 7-5,1.32,6.2%,6.2%,46.2%,66.7%,51.4%,3/6,1:23
17-Nov-2025,W100 Takasaki,Hard,R16,273,102,Shuai Zhang [CHN] d. Chang,6-3 6-2,0.67,4.5%,4.5%,56.8%,48.0%,42.1%,3/8,1:01
17-Nov-2025,W100 Takasaki,Hard,R32,273,558,Chang d. Mayuka Aikawa [JPN],7-6(0) 6-3,1.36,2.7%,6.8%,56.2%,80.5%,50.0%,3/5,1:44
27-Oct-2025,Cali 125,Clay,R32,255,93,(2) Julia Grabher [AUT] d. Chang,6-3 6-3,0.60,3.4%,10.2%,62.7%,73.0%,22.7%,5/9,1:12
20-Oct-2025,Queretaro 125,Clay,R16,257,342,Alicia Herrero Linana [ESP] d. (6) Chang,6-2 4-6 6-4,0.90,2.3%,12.5%,43.2%,68.4%,28.0%,5/13,2:28
20-Oct-2025,Queretaro 125,Clay,R32,257,515,(6) Chang d. Yuki Naito [JPN],7-5 6-2,1.42,1.9%,9.3%,37.0%,90.0%,50.0%,1/3,1:38
13-Oct-2025,Tampico 125,Hard,R32,249,203,(6) Cadence Brace [CAN] d. Chang,6-3 6-4,0.78,3.3%,5.0%,55.0%,60.6%,51.9%,8/11,1:48
06-Oct-2025,W100 Edmond OK,Hard,R32,249,260,Ayana Akli [USA] d. Chang,3-6 6-2 6-2,0.82,3.8%,6.3%,55.7%,52.3%,37.1%,5/11,2:12
