Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,12,8,4,66.7%,16-10,61.5%,124-102,54.9%,2-1,66.7%,12,71.6%,38.4%,3.5%,3.6%,52.1%,67.5%,50.3%,59.2%,45.6%,52.4%,1.12,W (W50 Croissy-Beaubourg)
2025,64,42,22,65.6%,87-48,64.4%,691-537,56.3%,10-5,66.7%,63,69.1%,41.8%,4.1%,2.8%,55.5%,66.5%,49.0%,58.7%,46.3%,52.5%,1.12,W (2x)
2024,30,15,15,50.0%,32-31,50.8%,291-272,51.7%,0-2,0.0%,0,,,,,,,,,,,,W (W50 Macon)
2023,52,31,21,59.6%,70-47,59.8%,587-475,55.3%,2-4,33.3%,4,68.8%,34.0%,3.1%,5.2%,54.6%,64.0%,48.0%,56.7%,42.6%,49.8%,0.99,W (W25 Faro)
2022,20,8,12,40.0%,22-25,46.8%,212-217,49.4%,2-5,28.6%,15,58.8%,34.3%,2.2%,4.4%,55.9%,60.7%,42.6%,52.8%,43.6%,48.2%,0.92,SF (2x)
2021,31,23,8,74.2%,52-17,75.4%,378-263,59.0%,6-2,75.0%,5,64.9%,44.6%,1.0%,2.5%,58.4%,63.7%,43.8%,55.4%,48.2%,51.9%,1.08,W (2x)
2020,29,18,11,62.1%,39-26,60.0%,338-274,55.2%,2-3,40.0%,2,56.5%,42.9%,1.9%,4.4%,47.5%,57.3%,49.4%,53.2%,46.0%,49.7%,0.98,F (W25 Petit-Bourg (Guadeloupe))
2019,44,24,20,54.5%,52-38,57.8%,440-377,53.9%,3-3,50.0%,3,56.0%,48.0%,2.0%,5.4%,62.2%,57.6%,50.0%,54.7%,49.4%,51.9%,1.09,F (2x)
2018,27,11,16,40.7%,26-32,44.8%,258-265,49.3%,2-1,66.7%,0,,,,,,,,,,,,W (Campinas $15K)
2017,51,26,25,51.0%,56-56,50.0%,494-505,49.4%,4-3,57.1%,0,,,,,,,,,,,,W (Obidos $15K)
2016,58,37,21,63.8%,76-42,64.4%,572-441,56.5%,4-3,57.1%,0,,,,,,,,,,,,W (2x)
2015,25,10,15,40.0%,23-32,41.8%,212-250,45.9%,1-0,100.0%,0,,,,,,,,,,,,W (Algiers $10K)
2014,36,21,15,58.3%,41-36,53.2%,369-355,51.0%,7-5,58.3%,0,,,,,,,,,,,,F (3x)
2013,16,7,9,43.8%,17-19,47.2%,163-171,48.8%,3-1,75.0%,0,,,,,,,,,,,,SF (Alger 10K)
2012,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-1,0.0%,0,,,,,,,,,,,,R32 (Gonesse 10K)
Career,496,281,215,56.7%,609-461,56.9%,5136-4517,53.2%,48-39,55.2%,104,66.8%,40.1%,3.4%,3.4%,55.3%,64.9%,47.8%,57.3%,45.8%,51.5%,1.07,
