Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Seoul R16,L vs Kostyuk,0.0%,-,4.0%,25.0%,19.1%,30.0%,0.0%,7.4%,22.2%,0.0%,-,38,73
2023 Austin R32,W vs Kovinic,0.0%,-,3.0%,100.0%,16.5%,28.0%,100.0%,5.1%,37.5%,0.9%,0.0%,25,43
2022 Wimbledon R128,W vs Korpatsch,0.0%,-,9.8%,90.0%,14.4%,17.9%,50.0%,8.4%,23.1%,1.3%,20.0%,40,60
2022 Strasbourg R32,W vs Hobgarski,0.0%,-,5.6%,83.3%,17.6%,50.0%,0.0%,10.3%,23.1%,1.8%,66.7%,21,67
2021 Abu Dhabi R64,W vs Burrage,0.0%,-,2.8%,83.3%,9.2%,25.8%,0.0%,16.8%,27.8%,1.2%,25.0%,92,90
2020 Acapulco F,W vs Fernandez,0.0%,-,7.3%,80.0%,15.4%,27.5%,26.7%,7.7%,27.8%,2.1%,12.5%,-8,14
2020 Acapulco SF,W vs Wang,0.0%,-,4.0%,83.3%,16.2%,21.1%,50.0%,4.3%,0.0%,2.5%,80.0%,-18,0
2019 Tianjin F,L vs Peterson,0.0%,-,8.8%,83.3%,9.6%,15.2%,100.0%,5.8%,27.3%,1.5%,0.0%,42,19
2019 Tianjin SF,W vs Kudermetova,0.0%,-,3.8%,50.0%,19.5%,50.0%,0.0%,14.7%,22.2%,0.6%,0.0%,-21,15
2019 US Open Q1,L vs Bolkvadze,0.0%,-,4.5%,40.0%,7.1%,3.4%,0.0%,6.0%,18.2%,1.4%,33.3%,-50,-30
2018 Quebec City QF,W vs Marino,0.0%,-,7.1%,50.0%,13.7%,25.0%,0.0%,8.6%,25.0%,1.3%,0.0%,-47,-14
2017 Fed Cup RR,L vs Halep,0.0%,-,8.8%,66.7%,9.2%,10.5%,0.0%,7.1%,27.3%,3.4%,12.5%,-1,-29
2017 Indian Wells R64,L vs Konta,0.0%,-,4.5%,50.0%,6.4%,22.2%,0.0%,10.9%,11.1%,0.6%,0.0%,-31,46
2016 Roland Garros R128,W vs Gibbs,0.0%,-,16.2%,65.6%,9.6%,22.2%,0.0%,6.9%,18.8%,1.5%,85.7%,6,3
2016 Miami R16,L vs Halep,0.0%,-,7.3%,66.7%,9.7%,31.3%,0.0%,8.5%,12.5%,2.9%,33.3%,121,100
2016 Hobart R32,W vs Pereira,0.0%,-,5.4%,66.7%,9.5%,16.7%,0.0%,6.4%,0.0%,1.5%,0.0%,-37,9
2015 Eastbourne R64,W vs Lepchenko,0.0%,-,1.5%,100.0%,6.3%,11.1%,8.3%,4.5%,0.0%,1.6%,50.0%,27,22
2015 Birmingham R64,L vs Krunic,0.0%,-,7.3%,54.5%,10.8%,12.5%,0.0%,9.5%,25.0%,0.5%,0.0%,25,69
2015 Roland Garros R128,W vs Johansson,0.0%,-,1.5%,100.0%,14.0%,44.4%,0.0%,2.9%,11.1%,1.0%,50.0%,-66,-49
2015 Indian Wells R32,W vs Radwanska,0.0%,-,10.3%,76.9%,15.9%,33.3%,0.0%,2.2%,22.2%,0.0%,-,-55,-22
Career (27 matches),,0.0%,-,6.4%,73.9%,11.4%,20.9%,21.2%,7.7%,19.7%,1.3%,33.3%,13,24
