Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,37.5%,12.5%,0.0%,8.0%,56.0%,60.7%,27.3%,46.0%,35.4%,40.8%,0.66,R32 (Merida)
2025,4,1,3,25.0%,3-6,33.3%,41-46,47.1%,0-1,0.0%,4,65.9%,28.6%,3.5%,3.5%,55.9%,65.0%,44.4%,55.9%,42.1%,49.0%,0.95,R16 (Queen's Club)
2024,9,3,6,33.3%,7-13,35.0%,92-105,46.7%,0-1,0.0%,9,69.4%,24.5%,3.2%,5.0%,56.3%,67.4%,44.6%,57.5%,39.7%,48.4%,0.93,R16 (3x)
2023,15,8,7,53.3%,17-17,50.0%,173-176,49.6%,4-0,100.0%,15,64.7%,33.1%,4.3%,4.7%,59.0%,66.1%,41.7%,56.1%,43.5%,49.7%,0.99,SF (Nottingham)
2022,23,10,13,43.5%,21-31,40.4%,248-267,48.2%,3-8,27.3%,20,64.1%,31.1%,3.9%,2.8%,62.6%,64.0%,45.2%,57.0%,41.8%,49.3%,0.97,R16 (4x)
2021,26,8,18,30.8%,20-39,33.9%,274-318,46.3%,6-7,46.2%,25,66.8%,26.4%,6.6%,5.0%,57.2%,67.6%,40.8%,56.1%,39.2%,47.9%,0.89,SF (Birmingham)
2020,19,10,9,52.6%,23-22,51.1%,215-218,49.7%,3-5,37.5%,19,66.1%,32.4%,5.0%,4.1%,57.8%,66.2%,44.9%,57.2%,42.9%,50.2%,1.00,W (Acapulco)
2019,14,5,9,35.7%,12-19,38.7%,139-160,46.5%,3-2,60.0%,14,63.0%,28.9%,4.9%,4.9%,56.7%,64.5%,44.4%,55.8%,41.4%,48.7%,0.94,F (Tianjin)
2018,32,13,19,40.6%,32-41,43.8%,341-357,48.9%,2-6,25.0%,32,66.5%,31.4%,5.3%,4.9%,59.1%,65.6%,43.9%,56.7%,42.8%,49.6%,0.99,SF (2x)
2017,34,17,17,50.0%,40-38,51.3%,388-349,52.6%,2-7,22.2%,34,69.8%,35.2%,4.4%,5.8%,58.7%,66.2%,46.6%,58.1%,44.2%,51.2%,1.05,SF (Eastbourne)
2016,38,18,20,47.4%,45-47,48.9%,445-424,51.2%,4-4,50.0%,35,65.4%,35.2%,5.4%,4.7%,58.7%,64.3%,46.1%,56.8%,44.3%,50.7%,1.03,W (Monterrey)
2015,38,18,20,47.4%,45-46,49.5%,439-434,50.3%,2-7,22.2%,31,62.0%,36.7%,4.6%,4.7%,59.2%,64.8%,47.7%,57.8%,42.6%,50.5%,1.01,W (Hobart)
2014,30,13,17,43.3%,30-40,42.9%,318-345,48.0%,1-4,20.0%,24,-,-,3.8%,4.5%,60.0%,61.3%,41.6%,53.4%,41.9%,47.8%,0.90,SF (Eastbourne)
2013,29,12,17,41.4%,31-40,43.7%,316-344,47.9%,3-2,60.0%,25,-,-,4.8%,4.0%,62.3%,62.9%,46.0%,56.5%,41.4%,49.0%,0.95,QF (Memphis)
2012,35,18,17,51.4%,41-39,51.2%,374-392,48.8%,8-6,57.1%,33,-,-,3.9%,3.8%,65.4%,63.3%,43.0%,56.3%,43.1%,49.6%,0.99,W (Osaka)
2011,24,12,12,50.0%,28-25,52.8%,265-242,52.3%,2-3,40.0%,21,-,-,4.2%,3.7%,65.6%,62.4%,45.1%,56.5%,44.8%,50.7%,1.03,QF (3x)
2010,6,1,5,16.7%,3-10,23.1%,49-67,42.2%,0-1,0.0%,6,-,-,4.0%,4.7%,62.5%,60.5%,42.8%,53.8%,40.9%,47.4%,0.88,R16 (Eastbourne)
Career,377,167,210,44.3%,398-475,45.6%,4121-4256,49.2%,43-64,40.2%,348,65.8%,32.1%,4.7%,4.5%,60.1%,64.5%,44.5%,56.5%,42.6%,49.6%,0.98,
