Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,333,223,110,67.0%,447-255,63.7%,3494-2839,55.2%,42-37,53.2%,0,,,,,,,,,,,
Clay,157,99,58,63.1%,207-136,60.3%,1673-1405,54.4%,13-14,48.1%,0,,,,,,,,,,,
Grass,174,125,49,71.8%,251-106,70.3%,1848-1328,58.2%,16-19,45.7%,0,,,,,,,,,,,
Carpet,258,168,90,65.1%,322-213,60.2%,2592-2151,54.6%,37-27,57.8%,0,,,,,,,,,,,
Grand Slams,204,143,61,70.1%,306-143,68.2%,2329-1789,56.6%,19-24,44.2%,0,,,,,,,,,,,
Premiers,2,1,1,50.0%,2-0,100.0%,12-7,63.2%,0-2,0.0%,0,,,,,,,,,,,
Finals,30,9,21,30.0%,21-42,33.3%,253-323,43.9%,5-3,62.5%,0,,,,,,,,,,,
Semi-finals,82,30,52,36.6%,65-104,38.5%,702-835,45.7%,6-15,28.6%,0,,,,,,,,,,,
Quarter-finals,152,80,72,52.6%,161-160,50.2%,1437-1426,50.2%,17-14,54.8%,0,,,,,,,,,,,
vs Righties,499,286,213,57.3%,578-465,55.4%,4920-4498,52.2%,64-60,51.6%,0,,,,,,,,,,,
vs Lefties,80,40,40,50.0%,83-83,50.0%,741-761,49.3%,7-8,46.7%,0,,,,,,,,,,,
vs Top 10,157,39,118,24.8%,90-239,27.4%,1210-1759,40.8%,16-20,44.4%,0,,,,,,,,,,,
