Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2023 US Open R128,L vs Korpatsch,91.6,94.6,6.3,99.6,92.7,104,80,82.7,5.9,81.0,80.5,93,74
2022 US Open R64,L vs Yuan,93.0,95.0,7.5,95.3,96.1,108,75,84.3,5.8,81.0,89.0,94,73
2022 US Open R128,W vs Mertens,95.2,98.6,7.7,103.1,97.8,109,72,87.6,7.2,101.0,83.0,101,73
2022 Wimbledon R32,L vs Ostapenko,97.3,101.3,4.6,103.4,98.5,107,83,87.7,6.3,89.5,85.3,99,78
2021 US Open R128,L vs Petkovic,97.1,100.4,6.2,104.8,97.0,112,85,90.7,5.7,93.0,95.5,104,78
2021 Wimbledon R32,L vs Swiatek,96.1,99.8,3.5,100.3,99.1,106,92,87.2,5.1,92.0,86.7,95,78
2020 US Open R128,L vs Kvitova,96.4,98.5,6.4,100.0,98.0,108,80,84.4,2.9,83.3,,89,80
2018 US Open R64,L vs Wang,92.9,98.6,6.9,101.3,98.8,106,80,79.1,4.5,79.0,79.0,86,69
2016 Roland Garros R16,L vs Rogers,93.9,99.2,4.3,100.6,99.9,106,89,82.6,2.8,,,87,78
2016 Roland Garros R32,W vs Beck,90.6,94.5,7.6,,,106,74,83.2,5.5,,,92,74
2016 Roland Garros R64,W vs Vandeweghe,91.2,95.3,9.2,,,107,69,81.8,6.1,,,95,67
2015 Wimbledon R32,L vs Sharapova,101.2,103.9,2.6,,,108,98,95.7,3.9,,,102,90
2015 Roland Garros R32,L vs Kvitova,100.7,102.3,3.8,,,108,95,96.5,3.1,,,103,92
2015 Australian Open R16,L vs Bouchard,97.0,100.5,4.2,,,109,90,88.7,5.3,,,101,80
2015 Australian Open R32,W vs Witthoeft,95.0,99.8,5.8,,,108,77,85.4,6.2,,,96,72
2015 Australian Open R128,W vs Kerber,94.2,101.6,4.7,,,109,90,82.3,4.7,,,93,72
2014 Wimbledon R64,L vs Petkovic,94.4,99.4,4.9,,,107,84,88.5,4.2,,,95,81
2013 Australian Open R64,L vs Radwanska,93.7,,,,,110,,,,,,,73
2012 US Open R128,W vs Wozniacki,97.7,,,,,113,,,,,,,74
2012 Roland Garros R64,L vs Kanepi,91.1,,,,,108,,,,,,,76
Career (23 matches),,94.4,98.9,6.0,101.2,97.3,113,69,85.8,5.2,87.4,87.2,104,67
