Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,3,1,2,33.3%,3-4,42.9%,37-35,51.4%,0-0,-,3,67.7%,41.9%,0.5%,7.6%,60.5%,60.7%,50.7%,56.8%,45.5%,50.9%,1.05,R16 (W50+H Palma del RÃ­o)
2023,4,1,3,25.0%,5-7,41.7%,45-55,45.0%,0-0,-,2,56.0%,26.9%,2.3%,7.0%,57.9%,58.6%,41.7%,51.5%,38.6%,45.1%,0.79,
2022,5,1,4,20.0%,2-9,18.2%,36-59,37.9%,0-0,-,5,44.7%,37.5%,1.0%,7.2%,60.9%,50.8%,39.5%,46.4%,45.8%,46.1%,0.85,
2021,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,44.4%,12.5%,0.0%,5.6%,57.4%,48.4%,43.5%,46.3%,33.3%,40.2%,0.62,R32 (Prague)
2020,3,1,2,33.3%,3-4,42.9%,29-30,49.2%,0-0,-,3,58.6%,40.0%,6.4%,4.9%,55.4%,59.3%,48.4%,54.4%,44.3%,49.5%,0.97,
2019,7,2,5,28.6%,5-10,33.3%,59-81,42.1%,1-0,100.0%,7,52.9%,29.0%,4.3%,7.2%,58.6%,64.2%,38.0%,53.4%,40.6%,47.6%,0.87,R16 (Rabat)
2018,3,1,2,33.3%,3-4,42.9%,36-38,48.6%,1-1,50.0%,3,57.1%,40.5%,1.7%,5.1%,55.1%,60.5%,42.9%,52.6%,43.5%,48.0%,0.92,
2017,4,1,3,25.0%,3-6,33.3%,35-51,40.7%,0-0,-,3,60.0%,28.6%,6.0%,8.6%,60.5%,63.1%,42.4%,54.9%,42.1%,48.5%,0.93,
2016,5,2,3,40.0%,5-8,38.5%,55-70,44.0%,2-0,100.0%,4,54.2%,30.4%,2.5%,4.4%,63.2%,57.3%,40.5%,51.1%,42.6%,46.9%,0.87,R16 (Bucharest)
2014,3,2,1,66.7%,5-3,62.5%,38-32,54.3%,0-0,-,0,,,,,,,,,,,,
2012,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,0,,,,,,,,,,,,
Career,39,12,27,30.8%,34-59,36.6%,383-476,44.6%,4-1,80.0%,31,55.0%,33.3%,3.1%,6.5%,59.2%,59.3%,42.0%,52.2%,42.5%,47.6%,0.89,
