Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,1,0,1,0.0%,1-2,33.3%,10-15,40.0%,0-0,-,1,53.8%,25.0%,0.0%,3.3%,72.2%,53.8%,48.0%,52.2%,41.3%,47.1%,0.86,R32 (Gaiba 125)
2020,6,5,1,83.3%,11-6,64.7%,93-69,57.4%,2-3,40.0%,1,42.9%,61.5%,1.1%,6.7%,58.9%,50.9%,40.5%,46.7%,53.1%,50.0%,1.00,W (W25 Prague)
2019,32,19,13,59.4%,43-31,58.1%,361-337,51.7%,6-4,60.0%,9,50.0%,50.0%,1.3%,4.7%,68.4%,58.0%,34.9%,50.7%,49.9%,50.3%,1.01,SF (2x)
2018,18,9,9,50.0%,18-23,43.9%,188-203,48.1%,2-2,50.0%,0,,,,,,,,,,,,F (Suzhou $100K)
2017,12,8,4,66.7%,18-7,72.0%,132-85,60.8%,0-1,0.0%,2,50.0%,73.3%,2.1%,8.2%,52.6%,52.9%,41.3%,47.4%,60.2%,53.7%,1.15,W (Budapest $100K)
2016,11,6,5,54.5%,15-13,53.6%,134-134,50.0%,1-0,100.0%,2,56.5%,33.3%,3.1%,4.3%,63.0%,58.8%,45.0%,53.7%,43.5%,48.3%,0.94,SF (Essen $50K)
2015,13,6,7,46.2%,12-15,44.4%,119-132,47.4%,3-2,60.0%,0,,,,,,,,,,,,F (Saint Gaudens $50K)
2014,9,6,3,66.7%,13-7,65.0%,100-78,56.2%,1-0,100.0%,3,-,-,0.0%,1.7%,75.0%,58.3%,45.5%,55.1%,50.6%,52.9%,1.13,SF (2x)
2013,17,12,5,70.6%,26-14,65.0%,219-170,56.3%,3-5,37.5%,0,,,,,,,,,,,,W (Dubai 75K)
2012,26,14,12,53.8%,30-28,51.7%,277-260,51.6%,1-2,33.3%,0,,,,,,,,,,,,SF (2x)
2011,51,36,15,70.6%,77-39,66.4%,602-453,57.1%,2-5,28.6%,0,,,,,,,,,,,,W (3x)
2010,25,19,6,76.0%,37-16,69.8%,273-187,59.3%,0-1,0.0%,0,,,,,,,,,,,,W (Monastir 10K)
2009,2,0,2,0.0%,0-4,0.0%,10-24,29.4%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,223,140,83,62.8%,301-205,59.5%,2518-2147,54.0%,21-25,45.7%,18,50.7%,48.6%,1.3%,4.5%,66.9%,57.0%,39.8%,51.3%,49.5%,50.4%,1.02,
