Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2017 US Open R128,L vs Cibulkova,86.1,91.8,7.8,94.4,85.5,103,72,77.9,4.6,75.8,79.6,86,63
2017 Roland Garros R128,L vs Halep,81.6,84.6,7.5,92.0,80.1,105,74,74.2,4.3,,78.5,82,67
2016 Wimbledon R32,L vs Safarova,84.5,89.3,7.6,86.2,89.0,105,66,76.3,5.3,72.4,78.4,87,67
2016 Wimbledon R64,W vs Muguruza,85.3,94.8,6.4,98.7,91.6,105,84,77.6,4.9,,81.0,86,67
2015 Wimbledon R128,W vs Halep,83.1,87.6,7.1,,,105,72,74.6,4.7,,,84,67
2014 US Open R64,L vs Halep,81.9,85.8,7.8,,,101,72,74.9,2.9,,,82,71
2013 Roland Garros R64,L vs Kerber,83.5,,,,,103,,,,,,,68
2013 Australian Open R64,L vs Wickmayer,81.7,,,,,100,,,,,,,64
2012 Wimbledon R32,L vs Azarenka,81.4,,,,,96,,,,,,,64
2012 Wimbledon R64,W vs Medina Garrigues,80.8,,,,,100,,,,,,,62
Career (10 matches),,83.0,88.9,7.4,91.0,87.0,105,66,76.2,4.6,74.7,79.4,87,62
