Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2003,216,128,,,,,,,,,,,,
2002,233,124,186,1516,172,1489,180,1451,168,1412,,,,
2001,96,379,125,1653,116,1595,113,1593,135,1481,,,,
2000,69,465,96,1713,92,1643,84,1669,108,1529,,,,
1999,88,338,108,1688,101,1630,109,1615,109,1517,,,,
1998,75,353,70,1785,64,1722,93,1642,82,1579,,,,
1997,137,165,106,1699,102,1626,,,,,,,,
1996,130,174,139,1665,135,1577,144,1570,100,1534,,,,
1995,82,19,115,1734,99,1677,,,90,1597,,,,
1994,139,10,164,1652,175,1574,201,1534,,,,,,
1993,328,2,285,1511,284,1446,285,1457,,,,,,
1992,396,1,368,1414,338,1373,351,1383,175,1429,,,,
1991,633,,,,,,,,,,,,,
